,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30
Investments,,,,-374866000.0,-374866000.0,-374866000.0,-374866000.0,149977000.0
Change To Liabilities,57534000.0,44131000.0,-27992000.0,40242000.0,-2987000.0,61034000.0,-50602000.0,35701000.0
Total Cashflows From Investing Activities,-112363000.0,-146822000.0,-136263000.0,-80711000.0,-101670000.0,-63883000.0,-466400000.0,72713000.0
Net Borrowings,-1065000.0,-327000.0,-295000.0,-340000.0,-156000.0,-157000.0,-157000.0,-158000.0
Total Cash From Financing Activities,15166000.0,19198000.0,7385000.0,5226000.0,9113000.0,5166000.0,10928000.0,2484000.0
Change To Operating Activities,-6050000.0,4789000.0,-17616000.0,7318000.0,-7372000.0,-18244000.0,-30664000.0,-8527000.0
Issuance Of Stock,20305000.0,20014000.0,7978000.0,5717000.0,14476000.0,5572000.0,11435000.0,4127000.0
Net Income,165533000.0,200285000.0,193440000.0,286796000.0,255974000.0,260363000.0,287412000.0,278620000.0
Change In Cash,171331000.0,128014000.0,10671000.0,295487000.0,136370000.0,250113000.0,-326722000.0,483167000.0
Repurchase Of Stock,-1260000.0,-489000.0,-298000.0,-151000.0,-5207000.0,-249000.0,-350000.0,-273000.0
Effect Of Exchange Rate,1611000.0,-2895000.0,5041000.0,1808000.0,241000.0,-3710000.0,-5258000.0,-9336000.0
Total Cash From Operating Activities,266917000.0,258533000.0,134508000.0,369164000.0,228686000.0,312540000.0,134008000.0,417306000.0
Depreciation,16979000.0,28949000.0,31351000.0,32007000.0,20093000.0,31760000.0,33867000.0,36025000.0
Change To Inventory,139000.0,-8259000.0,-1513000.0,-9016000.0,-5814000.0,-3463000.0,-5126000.0,-4778000.0
Change To Account Receivables,-3109000.0,-57860000.0,-53288000.0,29555000.0,-45920000.0,-82676000.0,-70087000.0,43127000.0
Other Cashflows From Financing Activities,-2814000.0,,,,-1212000.0,-1212000.0,-1212000.0,-1212000.0
Change To Netincome,19563000.0,12024000.0,12921000.0,-16737000.0,18922000.0,17794000.0,8948000.0,17742000.0
Capital Expenditures,-104242000.0,-147093000.0,-136121000.0,-81181000.0,-98601000.0,-64696000.0,-91504000.0,-78610000.0
