,2017-12-30,2018-12-29,2019-12-28,2020-12-26
Investments,6661000000.0,3856000000.0,2140000000.0,-6891000000.0
Change To Liabilities,1296000000.0,1578000000.0,-86000000.0,231000000.0
Total Cashflows From Investing Activities,-15762000000.0,-11239000000.0,-14405000000.0,-20796000000.0
Net Borrowings,-364000000.0,-2603000000.0,765000000.0,5722000000.0
Total Cash From Financing Activities,-8475000000.0,-18607000000.0,-17565000000.0,-12917000000.0
Change To Operating Activities,-1000000.0,41000000.0,2765000000.0,132000000.0
Issuance Of Stock,770000000.0,555000000.0,750000000.0,897000000.0
Net Income,9601000000.0,21053000000.0,21048000000.0,20899000000.0
Change In Cash,-2127000000.0,-414000000.0,1175000000.0,1671000000.0
Repurchase Of Stock,-3615000000.0,-10730000000.0,-13576000000.0,-14229000000.0
Total Cash From Operating Activities,22110000000.0,29432000000.0,33145000000.0,35384000000.0
Depreciation,8129000000.0,9085000000.0,10826000000.0,12239000000.0
Other Cashflows From Investing Activities,730000000.0,-272000000.0,715000000.0,1262000000.0
Dividends Paid,-5072000000.0,-5541000000.0,-5576000000.0,-5568000000.0
Change To Inventory,-1300000000.0,-214000000.0,-1481000000.0,-687000000.0
Change To Account Receivables,-781000000.0,-1714000000.0,-935000000.0,883000000.0
Other Cashflows From Financing Activities,-194000000.0,-288000000.0,72000000.0,261000000.0
Change To Netincome,-1612000000.0,1204000000.0,123000000.0,67000000.0
Capital Expenditures,-11778000000.0,-15181000000.0,-16213000000.0,-14453000000.0
