,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-04-02
Intangible Assets,10303000000.0,9881000000.0,9026000000.0,8408000000.0,8018000000.0,7684000000.0,7270000000.0,6813000000.0
Total Liab,70529000000.0,70707000000.0,72053000000.0,70815000000.0,69390000000.0,77875000000.0,73015000000.0,73220000000.0
Total Stockholder Equity,82010000000.0,74554000000.0,81038000000.0,79807000000.0,85207000000.0,90087000000.0,95391000000.0,103136000000.0
Other Current Liab,1074000000.0,1205000000.0,3946000000.0,609000000.0,618000000.0,556000000.0,2555000000.0,625000000.0
Total Assets,152539000000.0,145261000000.0,153091000000.0,150622000000.0,154597000000.0,167962000000.0,168406000000.0,176356000000.0
Common Stock,25516000000.0,23335000000.0,25556000000.0,26272000000.0,26655000000.0,27592000000.0,28006000000.0,29244000000.0
Other Current Assets,1817000000.0,1758000000.0,7575000000.0,7467000000.0,8025000000.0,8260000000.0,8897000000.0,4076000000.0
Retained Earnings,57646000000.0,52159000000.0,56233000000.0,54638000000.0,59647000000.0,63642000000.0,68265000000.0,74894000000.0
Other Liab,11955000000.0,12536000000.0,13048000000.0,13427000000.0,12840000000.0,12693000000.0,11748000000.0,11110000000.0
Good Will,26943000000.0,26955000000.0,26971000000.0,26971000000.0,26768000000.0,26786000000.0,26963000000.0,27011000000.0
Treasury Stock,-1152000000.0,-940000000.0,-751000000.0,-1103000000.0,-1095000000.0,-1147000000.0,-880000000.0,-1002000000.0
Other Assets,6082000000.0,6036000000.0,5313000000.0,5327000000.0,5356000000.0,5452000000.0,5523000000.0,7210000000.0
Cash,8736000000.0,3356000000.0,5865000000.0,5192000000.0,4746000000.0,7870000000.0,4827000000.0,6215000000.0
Total Current Liabilities,22481000000.0,22112000000.0,24754000000.0,24151000000.0,24836000000.0,29572000000.0,27462000000.0,29322000000.0
Short Long Term Debt,2254000000.0,504000000.0,2632000000.0,2647000000.0,3695000000.0,4694000000.0,4656000000.0,4459000000.0
Other Stockholder Equity,-1152000000.0,-940000000.0,-751000000.0,-1103000000.0,-1095000000.0,-1147000000.0,-880000000.0,-1002000000.0
Property Plant Equipment,58036000000.0,59205000000.0,57188000000.0,57330000000.0,58166000000.0,59733000000.0,63794000000.0,66718000000.0
Total Current Assets,44390000000.0,36785000000.0,47249000000.0,45773000000.0,49372000000.0,61304000000.0,57718000000.0,62568000000.0
Long Term Investments,6785000000.0,6399000000.0,7344000000.0,6813000000.0,6917000000.0,7003000000.0,7138000000.0,6036000000.0
Net Tangible Assets,44764000000.0,37718000000.0,45041000000.0,44428000000.0,50421000000.0,55617000000.0,61158000000.0,69312000000.0
Short Term Investments,4791000000.0,2987000000.0,2292000000.0,2417000000.0,3014000000.0,4004000000.0,2103000000.0,32481000000.0
Net Receivables,7789000000.0,7501000000.0,7352000000.0,7422000000.0,7673000000.0,8611000000.0,9632000000.0,7861000000.0
Long Term Debt,36093000000.0,36059000000.0,33897000000.0,33237000000.0,31714000000.0,35610000000.0,33510000000.0,32788000000.0
Inventory,8969000000.0,9273000000.0,8427000000.0,8487000000.0,8817000000.0,9798000000.0,10776000000.0,11935000000.0
Accounts Payable,5045000000.0,5159000000.0,5581000000.0,5434000000.0,5917000000.0,6792000000.0,5747000000.0,7210000000.0
Deferred Long Term Asset Charges,,,1232000000.0,,,,874000000.0,
