,2020-06-27,2020-09-26,2020-12-26,2021-03-27
Intangible Assets,87959000.0,82679000.0,76166000.0,70891000.0
Capital Surplus,,,,47801000.0
Total Liab,1971846000.0,1942508000.0,1956809000.0,2023062000.0
Total Stockholder Equity,1657457000.0,1711019000.0,1926061000.0,2149165000.0
Other Current Liab,202714000.0,208506000.0,225677000.0,269412000.0
Total Assets,3629303000.0,3653527000.0,3882870000.0,4172227000.0
Common Stock,266000.0,12461000.0,43231000.0,268000.0
Other Current Assets,39219000.0,29816000.0,36004000.0,27440000.0
Retained Earnings,1671786000.0,1713153000.0,1897098000.0,2117161000.0
Other Liab,476176000.0,455702000.0,461447000.0,450197000.0
Good Will,562540000.0,562540000.0,562540000.0,562541000.0
Treasury Stock,-14595000.0,-14595000.0,-14268000.0,-16065000.0
Other Assets,110569000.0,56850000.0,64405000.0,70405000.0
Cash,1578670000.0,1595089000.0,1796961000.0,2033973000.0
Total Current Liabilities,453334000.0,446320000.0,456397000.0,534503000.0
Other Stockholder Equity,-14595000.0,-14595000.0,-14268000.0,-16065000.0
Property Plant Equipment,550406000.0,594491000.0,590666000.0,593592000.0
Total Current Assets,2317829000.0,2356967000.0,2589093000.0,2874798000.0
Net Tangible Assets,1006958000.0,1065800000.0,1287355000.0,1515733000.0
Net Receivables,404778000.0,449376000.0,485773000.0,571042000.0
Long Term Debt,994022000.0,994381000.0,994741000.0,995100000.0
Inventory,259626000.0,265664000.0,261476000.0,242343000.0
Accounts Payable,91982000.0,86831000.0,96959000.0,102263000.0
Short Term Investments,35536000.0,17022000.0,8879000.0,
