,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-10016000000.0,394000000.0,-5965000000.0,2232000000.0,1618000000.0,-3988000000.0,-7970000000.0,-3894000000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-8337000000.0,-1391000000.0,-6679000000.0,-2162000000.0,-1054000000.0,1009000000.0,-8280000000.0,-2862000000.0
Net Borrowings,9852000000.0,-8816000000.0,548000000.0,-4570000000.0,-1453000000.0,1919000000.0,263000000.0,522000000.0
Total Cash From Financing Activities,14157000000.0,680000000.0,2885000000.0,-6993000000.0,-564000000.0,1632000000.0,-1108000000.0,-1335000000.0
Net Income,4398000000.0,145000000.0,706000000.0,158000000.0,358000000.0,3407000000.0,1584000000.0,1205000000.0
Change In Cash,7496000000.0,195000000.0,116000000.0,-4610000000.0,-160000000.0,4741000000.0,-6082000000.0,1753000000.0
Repurchase Of Stock,-500000000.0,-80000000.0,-80000000.0,-571000000.0,-999000000.0,-1113000000.0,-1015000000.0,-1176000000.0
Effect Of Exchange Rate,-171000000.0,60000000.0,117000000.0,157000000.0,-192000000.0,-200000000.0,-200000000.0,-86000000.0
Total Cash From Operating Activities,1847000000.0,846000000.0,3793000000.0,5153000000.0,1496000000.0,2254000000.0,3506000000.0,5340000000.0
Depreciation,28000000.0,31000000.0,33000000.0,320000000.0,30000000.0,31000000.0,31000000.0,368000000.0
Other Cashflows From Investing Activities,3472000000.0,-68000000.0,-1045000000.0,-1620000000.0,-3413000000.0,-426000000.0,-423000000.0,-321000000.0
Dividends Paid,-436000000.0,-496000000.0,-478000000.0,-449000000.0,-476000000.0,-456000000.0,-476000000.0,-434000000.0
Other Cashflows From Financing Activities,4269000000.0,9992000000.0,1906000000.0,-400000000.0,2364000000.0,1776000000.0,120000000.0,-247000000.0
Change To Netincome,-2579000000.0,670000000.0,3054000000.0,-385000000.0,1108000000.0,-1184000000.0,1891000000.0,-1049000000.0
Change To Operating Activities,4022000000.0,4022000000.0,4022000000.0,4022000000.0,,,,3595000000.0
Change To Account Receivables,842000000.0,842000000.0,842000000.0,842000000.0,,,,389000000.0
