,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-578600000.0,465600000.0,-56500000.0,-2900000.0,-80100000.0,-170300000.0,-56500000.0
Change To Liabilities,281600000.0,-489300000.0,-82800000.0,64800000.0,106700000.0,89000000.0,-29700000.0
Total Cashflows From Investing Activities,-832700000.0,-52400000.0,-166400000.0,-64700000.0,-152700000.0,-233600000.0,-112700000.0
Total Cash From Financing Activities,-1313400000.0,-1312900000.0,-401100000.0,-785000000.0,-564500000.0,-746500000.0,9800000.0
Change To Operating Activities,-32100000.0,621300000.0,-145100000.0,-320700000.0,26300000.0,-23000000.0,78700000.0
Net Income,1542100000.0,701500000.0,357900000.0,410200000.0,448500000.0,329200000.0,368200000.0
Change In Cash,-206400000.0,-160100000.0,-893600000.0,-113700000.0,524500000.0,-200200000.0,719600000.0
Effect Of Exchange Rate,-8800000.0,24100000.0,41000000.0,-33000000.0,14400000.0,-25400000.0,-15800000.0
Total Cash From Operating Activities,1948500000.0,1181100000.0,-367100000.0,769000000.0,1227300000.0,805300000.0,838300000.0
Depreciation,112900000.0,114700000.0,109700000.0,102600000.0,117200000.0,133200000.0,134700000.0
Other Cashflows From Investing Activities,-7300000.0,-10200000.0,-8900000.0,2700000.0,-700000.0,-1400000.0,12300000.0
Change To Inventory,-126000000.0,-82400000.0,-45700000.0,-112500000.0,-81300000.0,-128800000.0,-139800000.0
Change To Account Receivables,-30400000.0,133100000.0,138500000.0,37200000.0,174300000.0,-53700000.0,167000000.0
Other Cashflows From Financing Activities,28200000.0,-62900000.0,-1200000.0,-15700000.0,-113800000.0,3500000.0,9800000.0
Change To Netincome,200400000.0,182200000.0,-699600000.0,587400000.0,435600000.0,459400000.0,259200000.0
Capital Expenditures,-105000000.0,-84100000.0,-86000000.0,-92600000.0,-71900000.0,-42000000.0,-51600000.0
Repurchase Of Stock,-2808900000.0,-1250000000.0,-400000000.0,-600000000.0,-450000000.0,-750000000.0,
Net Borrowings,1467300000.0,100000.0,100000.0,-169300000.0,-700000.0,,
