,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Change To Liabilities,197000000.0,113000000.0,130000000.0,-239000000.0
Total Cashflows From Investing Activities,-99000000.0,-112000000.0,-81000000.0,-100000000.0
Net Borrowings,-25000000.0,-320000000.0,-333000000.0,-193000000.0
Total Cash From Financing Activities,-137000000.0,-382000000.0,-416000000.0,-314000000.0
Change To Operating Activities,-54000000.0,-64000000.0,90000000.0,-15000000.0
Net Income,274000000.0,32000000.0,161000000.0,27000000.0
Change In Cash,-24000000.0,-86000000.0,-54000000.0,24000000.0
Repurchase Of Stock,-40000000.0,-40000000.0,-40000000.0,-30000000.0
Effect Of Exchange Rate,-4000000.0,2000000.0,1000000.0,2000000.0
Total Cash From Operating Activities,216000000.0,406000000.0,442000000.0,436000000.0
Depreciation,145000000.0,144000000.0,142000000.0,141000000.0
Other Cashflows From Investing Activities,-2000000.0,-6000000.0,1000000.0,-3000000.0
Dividends Paid,-94000000.0,-89000000.0,-90000000.0,-89000000.0
Change To Inventory,-144000000.0,-25000000.0,95000000.0,239000000.0
Change To Account Receivables,-211000000.0,59000000.0,-163000000.0,145000000.0
Other Cashflows From Financing Activities,22000000.0,27000000.0,7000000.0,-2000000.0
Change To Netincome,9000000.0,147000000.0,-13000000.0,138000000.0
Capital Expenditures,-91000000.0,-105000000.0,-82000000.0,-97000000.0
