,2017-08-31,2018-08-30,2019-08-29,2020-09-03,2021-09-02,2022-09-01
Intangible Assets,387000000.0,331000000.0,340000000.0,334000000.0,349000000.0,421000000.0
Capital Surplus,8287000000.0,8201000000.0,8214000000.0,8917000000.0,9453000000.0,10197000000.0
Total Liab,15866000000.0,10115000000.0,12019000000.0,14682000000.0,14916000000.0,16376000000.0
Total Stockholder Equity,18621000000.0,32294000000.0,35881000000.0,38996000000.0,43933000000.0,49907000000.0
Other Current Liab,2136000000.0,2362000000.0,2708000000.0,3271000000.0,3486000000.0,4357000000.0
Total Assets,35336000000.0,43376000000.0,48887000000.0,53678000000.0,58849000000.0,66283000000.0
Common Stock,112000000.0,117000000.0,118000000.0,119000000.0,122000000.0,123000000.0
Other Current Assets,198000000.0,178000000.0,235000000.0,538000000.0,1476000000.0,657000000.0
Retained Earnings,10260000000.0,24395000000.0,30761000000.0,33384000000.0,39051000000.0,47274000000.0
Other Liab,639000000.0,581000000.0,1088000000.0,1141000000.0,1367000000.0,1424000000.0
Good Will,1228000000.0,1228000000.0,1228000000.0,1228000000.0,1228000000.0,1228000000.0
Treasury Stock,-38000000.0,-419000000.0,-3212000000.0,-3424000000.0,-4693000000.0,-7687000000.0
Other Assets,1216000000.0,1633000000.0,1412000000.0,1488000000.0,1836000000.0,1979000000.0
Cash,5109000000.0,6506000000.0,7152000000.0,7624000000.0,7763000000.0,8262000000.0
Total Current Liabilities,5355000000.0,5757000000.0,6390000000.0,6635000000.0,6424000000.0,7539000000.0
Deferred Long Term Asset Charges,766000000.0,1022000000.0,837000000.0,707000000.0,782000000.0,702000000.0
Other Stockholder Equity,29000000.0,10000000.0,9000000.0,71000000.0,2000000.0,-560000000.0
Property Plant Equipment,19431000000.0,23672000000.0,28240000000.0,31615000000.0,33764000000.0,39227000000.0
Total Current Assets,12457000000.0,16039000000.0,16503000000.0,17965000000.0,19907000000.0,21781000000.0
Long Term Investments,617000000.0,473000000.0,1164000000.0,1048000000.0,1765000000.0,1647000000.0
Net Tangible Assets,17006000000.0,30735000000.0,34313000000.0,37434000000.0,42356000000.0,48258000000.0
Short Term Investments,319000000.0,296000000.0,803000000.0,518000000.0,870000000.0,1069000000.0
Net Receivables,3708000000.0,5464000000.0,3195000000.0,3912000000.0,5311000000.0,5130000000.0
Long Term Debt,9039000000.0,3241000000.0,4173000000.0,5963000000.0,5972000000.0,6020000000.0
Inventory,3123000000.0,3595000000.0,5118000000.0,5373000000.0,4487000000.0,6663000000.0
Accounts Payable,1333000000.0,1692000000.0,1677000000.0,2191000000.0,1744000000.0,2142000000.0
Short Long Term Debt,926000000.0,552000000.0,1087000000.0,194000000.0,,
Minority Interest,849000000.0,967000000.0,987000000.0,,,
