,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Change To Liabilities,-29000000.0,-30000000.0,253000000.0,-55000000.0,-65000000.0,67000000.0,228000000.0,0.0,-47000000.0
Total Cashflows From Investing Activities,511000000.0,-540000000.0,-582000000.0,-604000000.0,-772000000.0,-728000000.0,253000000.0,-992000000.0,-992000000.0
Net Borrowings,-2371000000.0,431000000.0,95000000.0,2445000000.0,286000000.0,341000000.0,-621000000.0,1141000000.0,1141000000.0
Total Cash From Financing Activities,-1083000000.0,296000000.0,-15000000.0,2285000000.0,157000000.0,202000000.0,-728000000.0,1024000000.0,1024000000.0
Change To Operating Activities,205000000.0,-25000000.0,18000000.0,-2415000000.0,-30000000.0,16000000.0,137000000.0,-213000000.0,-213000000.0
Net Income,105000000.0,121000000.0,200000000.0,363000000.0,251000000.0,218000000.0,654000000.0,0.0,190000000.0
Change In Cash,-53000000.0,14000000.0,-41000000.0,-10000000.0,-10000000.0,-1000000.0,98000000.0,430000000.0,430000000.0
Total Cash From Operating Activities,519000000.0,258000000.0,556000000.0,-1681000000.0,605000000.0,525000000.0,573000000.0,398000000.0,398000000.0
Depreciation,297000000.0,306000000.0,150000000.0,307000000.0,327000000.0,354000000.0,115000000.0,327000000.0,327000000.0
Other Cashflows From Investing Activities,1125000000.0,-1104000000.0,1227000000.0,-10000000.0,17000000.0,15000000.0,-34000000.0,18000000.0,27000000.0
Dividends Paid,-106000000.0,-130000000.0,-106000000.0,-136000000.0,-112000000.0,-136000000.0,-108000000.0,-107000000.0,-107000000.0
Change To Inventory,-88000000.0,-72000000.0,59000000.0,99000000.0,-46000000.0,-157000000.0,-36000000.0,-117000000.0,-117000000.0
Change To Account Receivables,76000000.0,14000000.0,-236000000.0,29000000.0,191000000.0,11000000.0,-329000000.0,265000000.0,265000000.0
Other Cashflows From Financing Activities,-3000000.0,-3000000.0,-4000000.0,-24000000.0,-17000000.0,-3000000.0,1000000.0,-10000000.0,-10000000.0
Change To Netincome,-148000000.0,38000000.0,-68000000.0,-19000000.0,-32000000.0,-60000000.0,-395000000.0,-4000000.0,-4000000.0
Capital Expenditures,-614000000.0,-611000000.0,-707000000.0,-594000000.0,-789000000.0,-765000000.0,-1016000000.0,-1034000000.0,-1034000000.0
Investments,39000000.0,39000000.0,34000000.0,1320000000.0,1320000000.0,1320000000.0,1320000000.0,,
Repurchase Of Stock,-1000000.0,-1000000.0,,,,,,,
Issuance Of Stock,673000000.0,,,,,,,,
