,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Net Income,252232000.0,346260000.0,271923000.0,366143000.0,264520000.0,283166000.0,306698000.0,443446000.0,291862000.0
Change To Liabilities,-41885000.0,48217000.0,243601000.0,-181725000.0,-103945000.0,27161000.0,229308000.0,-68909000.0,0.0
Investments,-3224000.0,-34900000.0,-171039000.0,-22669000.0,-64745000.0,-137173000.0,-69885000.0,-99629000.0,
Total Cashflows From Investing Activities,-672892000.0,-619212000.0,-2119561000.0,-704517000.0,-793459000.0,-920311000.0,-1029087000.0,-858247000.0,
Net Borrowings,-193123000.0,933615000.0,1563825000.0,426314000.0,808256000.0,271395000.0,794450000.0,671745000.0,
Total Cash From Financing Activities,131054000.0,780461000.0,1369145000.0,203755000.0,589837000.0,57601000.0,589639000.0,429888000.0,
Change To Operating Activities,-29637000.0,10554000.0,71442000.0,-42386000.0,-103482000.0,48701000.0,102736000.0,-44758000.0,
Change In Cash,43231000.0,652083000.0,-564053000.0,-89346000.0,192407000.0,-149882000.0,2879000.0,-56419000.0,
Total Cash From Operating Activities,585069000.0,490834000.0,186363000.0,411416000.0,396029000.0,712828000.0,442327000.0,371940000.0,
Depreciation,240516000.0,244452000.0,260201000.0,270704000.0,274648000.0,435705000.0,121951000.0,289330000.0,
Other Cashflows From Investing Activities,5010000.0,6518000.0,6162000.0,7135000.0,5526000.0,4775000.0,4742000.0,5976000.0,
Dividends Paid,-185209000.0,-188838000.0,-189010000.0,-201013000.0,-201198000.0,-201400000.0,-201828000.0,-213890000.0,
Change To Inventory,110359000.0,-38230000.0,-36506000.0,-42494000.0,120401000.0,-29595000.0,-50171000.0,-19495000.0,
Change To Account Receivables,-11170000.0,-127435000.0,-157948000.0,-124344000.0,39083000.0,-72944000.0,22700000.0,-291723000.0,
Other Cashflows From Financing Activities,147000.0,35684000.0,-26304000.0,-21546000.0,-17221000.0,-12394000.0,-2983000.0,-27967000.0,
Change To Netincome,12682000.0,-19541000.0,-467402000.0,-6571000.0,-27618000.0,81142000.0,-368236000.0,-229418000.0,
Capital Expenditures,-674678000.0,-701366000.0,-1954684000.0,-688983000.0,-734240000.0,-787913000.0,-963944000.0,-764594000.0,
Issuance Of Stock,509239000.0,20634000.0,20634000.0,,,,,,
