,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,-3000000.0,2000000.0,-1000000.0,1214000000.0,1214000000.0,-93000000.0,-93000000.0,698000000.0,698000000.0
Change To Liabilities,-119000000.0,-133000000.0,-118000000.0,375000000.0,-96000000.0,-116000000.0,-129000000.0,411000000.0,-119000000.0
Total Cashflows From Investing Activities,-90000000.0,-9310000000.0,-128000000.0,-116000000.0,1082000000.0,-94000000.0,-1658000000.0,882000000.0,1961000000.0
Net Borrowings,79000000.0,8915000000.0,-801000000.0,-343000000.0,-1749000000.0,-237000000.0,-310000000.0,256000000.0,3918000000.0
Total Cash From Financing Activities,-478000000.0,8598000000.0,-965000000.0,-583000000.0,-1935000000.0,-410000000.0,64954000000.0,13678000000.0,5560000000.0
Net Income,523000000.0,390000000.0,526000000.0,646000000.0,1252000000.0,633000000.0,1527000000.0,657000000.0,555000000.0
Change In Cash,295000000.0,-270000000.0,-20000000.0,34000000.0,21000000.0,15000000.0,64287000000.0,15315000000.0,8472000000.0
Repurchase Of Stock,-403000000.0,-148000000.0,-2000000.0,-65000000.0,-2000000.0,-2000000.0,-251000000.0,-544000000.0,-159000000.0
Effect Of Exchange Rate,5000000.0,5000000.0,7000000.0,-1000000.0,1000000.0,-4000000.0,-2000000.0,-1000000.0,-18000000.0
Total Cash From Operating Activities,858000000.0,437000000.0,1066000000.0,734000000.0,873000000.0,523000000.0,993000000.0,756000000.0,969000000.0
Depreciation,157000000.0,180000000.0,67000000.0,255000000.0,251000000.0,253000000.0,37000000.0,254000000.0,256000000.0
Other Cashflows From Investing Activities,22000000.0,22000000.0,22000000.0,-2000000.0,-2000000.0,-2000000.0,-1385000000.0,985000000.0,1400000000.0
Dividends Paid,-164000000.0,-170000000.0,-169000000.0,-187000000.0,-187000000.0,-187000000.0,-186000000.0,-214000000.0,-213000000.0
Change To Account Receivables,295000000.0,77000000.0,79000000.0,-303000000.0,229000000.0,-35000000.0,104000000.0,-480000000.0,303000000.0
Other Cashflows From Financing Activities,10000000.0,1000000.0,7000000.0,12000000.0,3000000.0,16000000.0,65701000000.0,14180000000.0,2014000000.0
Change To Netincome,39000000.0,67000000.0,40000000.0,8000000.0,-1013000000.0,-7000000.0,-845000000.0,13000000.0,-26000000.0
Capital Expenditures,-33000000.0,-66000000.0,-93000000.0,-40000000.0,-55000000.0,-22000000.0,-62000000.0,-36000000.0,-34000000.0
Change To Operating Activities,-37000000.0,-144000000.0,293000000.0,-247000000.0,250000000.0,-205000000.0,86000000.0,-99000000.0,
