,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Capital Surplus,5779000000.0,5684000000.0,5668000000.0,5650000000.0
Total Liab,12308000000.0,12486000000.0,12087000000.0,12180000000.0
Total Stockholder Equity,5616000000.0,5366000000.0,5916000000.0,6395000000.0
Minority Interest,1027000000.0,969000000.0,966000000.0,971000000.0
Other Current Liab,725000000.0,531000000.0,124000000.0,34000000.0
Total Assets,18951000000.0,18821000000.0,18969000000.0,19546000000.0
Common Stock,308000000.0,307000000.0,307000000.0,307000000.0
Other Current Assets,426000000.0,104000000.0,730000000.0,515000000.0
Retained Earnings,305000000.0,130000000.0,304000000.0,625000000.0
Other Liab,1693000000.0,1879000000.0,1823000000.0,1833000000.0
Good Will,360000000.0,360000000.0,360000000.0,360000000.0
Treasury Stock,-776000000.0,-755000000.0,-363000000.0,-187000000.0
Other Assets,655000000.0,666000000.0,733000000.0,714000000.0
Cash,1866000000.0,1739000000.0,1285000000.0,1646000000.0
Total Current Liabilities,1690000000.0,1623000000.0,1426000000.0,1564000000.0
Deferred Long Term Asset Charges,41000000.0,59000000.0,67000000.0,78000000.0
Short Long Term Debt,13000000.0,10000000.0,8000000.0,5000000.0
Other Stockholder Equity,-776000000.0,-755000000.0,-363000000.0,-187000000.0
Property Plant Equipment,14410000000.0,14709000000.0,14734000000.0,15351000000.0
Total Current Assets,3522000000.0,3081000000.0,3136000000.0,3115000000.0
Long Term Investments,4000000.0,5000000.0,6000000.0,6000000.0
Net Tangible Assets,5256000000.0,5006000000.0,5556000000.0,6035000000.0
Net Receivables,1011000000.0,860000000.0,699000000.0,594000000.0
Long Term Debt,8273000000.0,8286000000.0,8280000000.0,8205000000.0
Inventory,219000000.0,378000000.0,422000000.0,360000000.0
Accounts Payable,172000000.0,200000000.0,200000000.0,307000000.0
