,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Investments,1900000.0,1900000.0,2100000.0,100000.0,-2200000.0,-2200000.0
Change To Liabilities,260900000.0,152600000.0,254600000.0,563500000.0,-82400000.0,109400000.0
Total Cashflows From Investing Activities,-65800000.0,-65700000.0,-91400000.0,-104700000.0,-10800000.0,-45300000.0
Net Borrowings,-19200000.0,-43900000.0,-69500000.0,234400000.0,-82600000.0,995000000.0
Total Cash From Financing Activities,-82800000.0,-99600000.0,-221700000.0,-235500000.0,-372400000.0,744500000.0
Change To Operating Activities,-32400000.0,-114800000.0,-34800000.0,-487200000.0,39700000.0,-455700000.0
Issuance Of Stock,2100000.0,8400000.0,900000.0,4700000.0,42500000.0,8100000.0
Net Income,630700000.0,829000000.0,791800000.0,929500000.0,1115500000.0,1339000000.0
Change In Cash,835400000.0,667400000.0,-565200000.0,-243000000.0,-262800000.0,1268100000.0
Repurchase Of Stock,-100000.0,-80100000.0,-80100000.0,-423000000.0,-236800000.0,-187000000.0
Total Cash From Operating Activities,984000000.0,832700000.0,-252100000.0,97200000.0,120400000.0,568900000.0
Depreciation,18600000.0,23000000.0,20400000.0,18900000.0,17400000.0,17200000.0
Other Cashflows From Investing Activities,,,2100000.0,2100000.0,2100000.0,2100000.0
Dividends Paid,-63600000.0,-63700000.0,-72900000.0,-72700000.0,-72100000.0,-71600000.0
Change To Inventory,84400000.0,-99300000.0,-1308000000.0,-963000000.0,-1014500000.0,-473600000.0
Change To Netincome,19800000.0,39800000.0,21400000.0,33200000.0,42600000.0,31300000.0
Capital Expenditures,-59800000.0,-66400000.0,-102500000.0,-101900000.0,-15500000.0,-47500000.0
Other Cashflows From Financing Activities,-2000000.0,-400000.0,-100000.0,21100000.0,-23400000.0,
