,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Intangible Assets,10000000.0,17100000.0,9800000.0,6400000.0,14200000.0,4100000.0,8300000.0
Capital Surplus,3214200000.0,3240900000.0,3236900000.0,3208400000.0,3246000000.0,3274800000.0,3282700000.0
Total Liab,6646800000.0,6790800000.0,7010100000.0,7807800000.0,7668500000.0,8799700000.0,8986000000.0
Total Stockholder Equity,11048000000.0,11840000000.0,12485200000.0,12963100000.0,13802900000.0,14886500000.0,15677700000.0
Minority Interest,279100000.0,281500000.0,285100000.0,312900000.0,322100000.0,329700000.0,335700000.0
Other Current Liab,449600000.0,352800000.0,605800000.0,654200000.0,400600000.0,464500000.0,820500000.0
Total Assets,17973900000.0,18912300000.0,19780400000.0,21083800000.0,21793500000.0,24015900000.0,24999400000.0
Common Stock,3900000.0,3900000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0
Other Current Assets,569300000.0,666800000.0,774400000.0,874900000.0,1011600000.0,1097300000.0,1291900000.0
Retained Earnings,8992500000.0,9757800000.0,10476700000.0,11333500000.0,12376900000.0,13644300000.0,14705800000.0
Other Liab,634100000.0,685500000.0,755500000.0,785400000.0,844300000.0,871300000.0,948200000.0
Good Will,163500000.0,163500000.0,163500000.0,163500000.0,163500000.0,163500000.0,163500000.0
Treasury Stock,-1162600000.0,-1162600000.0,-1232400000.0,-1582800000.0,-1824000000.0,-2036600000.0,-2314800000.0
Other Assets,237500000.0,201000000.0,214900000.0,185900000.0,207300000.0,196500000.0,182700000.0
Cash,2278400000.0,2962900000.0,2389600000.0,2110500000.0,1841600000.0,3131400000.0,2353900000.0
Total Current Liabilities,3249800000.0,3334800000.0,2962600000.0,3718200000.0,3465000000.0,3973600000.0,4352900000.0
Deferred Long Term Asset Charges,158600000.0,144900000.0,142000000.0,142800000.0,147100000.0,155300000.0,137600000.0
Short Long Term Debt,436200000.0,416300000.0,41300000.0,49200000.0,18900000.0,1700000.0,349700000.0
Property Plant Equipment,667400000.0,718400000.0,781800000.0,928900000.0,398600000.0,425000000.0,445200000.0
Total Current Assets,16866600000.0,17781000000.0,18584000000.0,19684500000.0,20984400000.0,23205400000.0,24171800000.0
Long Term Investments,28900000.0,31300000.0,26400000.0,114600000.0,22100000.0,17900000.0,24600000.0
Net Tangible Assets,10874500000.0,11659400000.0,12311900000.0,12793200000.0,13625200000.0,14718900000.0,15505900000.0
Net Receivables,212600000.0,224300000.0,227800000.0,257100000.0,250400000.0,263100000.0,261300000.0
Long Term Debt,2724800000.0,2750900000.0,3256500000.0,3268800000.0,3322700000.0,3917800000.0,3645600000.0
Inventory,12138700000.0,12237400000.0,13576500000.0,14476300000.0,16011700000.0,16479100000.0,18202500000.0
Accounts Payable,761100000.0,900500000.0,845600000.0,1137400000.0,1250900000.0,1177000000.0,1150700000.0
