,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-8150000.0,-1578000.0,17489000.0,54802000.0,-26913000.0,-2542000.0,-45504000.0
Change To Liabilities,-890183000.0,-319288000.0,-23885000.0,262439000.0,1432061000.0,180007000.0,289164000.0
Total Cashflows From Investing Activities,-68270000.0,-33891000.0,470000.0,10108000.0,-60403000.0,-61464000.0,-455203000.0
Net Borrowings,1177624000.0,-6750000.0,-7882000.0,421050000.0,4893000.0,385053000.0,-16874000.0
Total Cash From Financing Activities,1079676000.0,-100462000.0,-11554000.0,417017000.0,-15548000.0,820852000.0,-50989000.0
Change To Operating Activities,156664000.0,52286000.0,139838000.0,4704000.0,-107258000.0,9919000.0,188168000.0
Issuance Of Stock,11406000.0,6686000.0,12555000.0,25794000.0,2289000.0,451654000.0,511000.0
Net Income,-567517000.0,-528902000.0,-443332000.0,-307193000.0,-195665000.0,46878000.0,-194924000.0
Change In Cash,18654000.0,-666874000.0,-87052000.0,471018000.0,1030180000.0,585560000.0,254595000.0
Repurchase Of Stock,-17339000.0,-25479000.0,-4721000.0,-19944000.0,-18265000.0,-4522000.0,-3114000.0
Effect Of Exchange Rate,29283000.0,34022000.0,50517000.0,-30681000.0,10716000.0,-28536000.0,4916000.0
Total Cash From Operating Activities,-1022035000.0,-566543000.0,-126485000.0,74574000.0,1095415000.0,-145292000.0,755871000.0
Depreciation,110667000.0,116774000.0,111874000.0,108876000.0,103445000.0,101437000.0,102519000.0
Other Cashflows From Investing Activities,8383000.0,10335000.0,18451000.0,-9304000.0,8004000.0,-12298000.0,10878000.0
Change To Account Receivables,135166000.0,43123000.0,84386000.0,21861000.0,-165204000.0,-546762000.0,204894000.0
Other Cashflows From Financing Activities,-92015000.0,-74919000.0,-11506000.0,-9883000.0,-4465000.0,-11333000.0,-31512000.0
Change To Netincome,4997000.0,53412000.0,-13077000.0,-35930000.0,752000.0,33200000.0,131514000.0
Capital Expenditures,-57946000.0,-44527000.0,-26710000.0,-23763000.0,-34303000.0,-45848000.0,-48820000.0
