Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-06-01-00-00-00,58.200001,58.200001,56.27,57.439999,57.439999,13122700,,
2021-06-02-00-00-00,57.28,57.64,56.32,57.16,,9472900,0.0,0.0
2021-06-03-00-00-00,56.96,58.67,55.83,57.01,,21985700,0.0,0.0
2021-06-04-00-00-00,57.41,59.3,57.32,59.0,,12256100,0.0,0.0
2021-06-07-00-00-00,58.62,59.83,57.72,59.63,,10538600,0.0,0.0
2021-06-08-00-00-00,59.79,60.09,57.82,58.81,,12772900,0.0,0.0
2021-06-09-00-00-00,59.59,61.05,59.41,59.71,,16163600,0.0,0.0
2021-06-10-00-00-00,59.8,60.38,58.74,60.3,,8717500,0.0,0.0
2021-06-11-00-00-00,59.950001,60.630001,59.869999,60.5,60.5,6976600,,
2021-06-14-00-00-00,60.85,61.55,60.45,60.83,,9316600,0.0,0.0
2021-06-15-00-00-00,61.09,61.32,60.19,60.23,,9579900,0.0,0.0
2021-06-16-00-00-00,60.12,61.15,59.15,59.93,,9336500,0.0,0.0
2021-06-17-00-00-00,59.61,61.62,59.53,60.71,,10201300,0.0,0.0
2021-06-18-00-00-00,60.2,60.97,59.53,60.85,,13273000,0.0,0.0
2021-06-21-00-00-00,60.85,62.09,59.74,61.96,,12027100,0.0,0.0
2021-06-22-00-00-00,61.919998,64.050003,61.91,63.779999,63.779999,16672600,,
2021-06-23-00-00-00,63.91,66.769997,63.790001000000004,66.489998,66.489998,18496400,,
2021-06-24-00-00-00,66.75,68.739998,66.75,68.25,68.25,23125100,,
2021-06-25-00-00-00,68.290001,68.91999799999999,67.279999,67.93,67.93,13886700,,
2021-06-28-00-00-00,68.160004,68.629997,67.08000200000001,68.290001,68.290001,11172100,,
2021-06-29-00-00-00,68.28,69.38,67.93,69.0,,9526400,0.0,0.0
2021-06-30-00-00-00,68.76,69.12,68.25,68.81,,9752900,0.0,0.0
