,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Change To Liabilities,-1261000000.0,-964000000.0,507000000.0,-1384000000.0,28000000.0,111000000.0
Total Cashflows From Investing Activities,-6356000000.0,-1132000000.0,-3647000000.0,-11239000000.0,-2083000000.0,-4152000000.0
Net Borrowings,15592000000.0,-6155000000.0,4103000000.0,4202000000.0,-449000000.0,-2953000000.0
Total Cash From Financing Activities,15628000000.0,-6144000000.0,3979000000.0,3874000000.0,-577000000.0,-3060000000.0
Change To Operating Activities,-2434000000.0,-142000000.0,-125000000.0,-339000000.0,75000000.0,-887000000.0
Net Income,110000000.0,1253000000.0,750000000.0,933000000.0,978000000.0,691000000.0
Change In Cash,10049000000.0,-4504000000.0,3806000000.0,-3704000000.0,1119000000.0,-3735000000.0
Repurchase Of Stock,-17128000000.0,-2618000000.0,-88000000.0,-218000000.0,-76000000.0,-14000000.0
Total Cash From Operating Activities,777000000.0,2772000000.0,3474000000.0,3661000000.0,3779000000.0,3477000000.0
Depreciation,4064000000.0,4150000000.0,4219000000.0,4289000000.0,4077000000.0,4145000000.0
Other Cashflows From Investing Activities,1044000000.0,-8000000.0,-129000000.0,4000000.0,28000000.0,14000000.0
Change To Inventory,-553000000.0,-549000000.0,-609000000.0,279000000.0,584000000.0,41000000.0
Change To Account Receivables,-371000000.0,-1844000000.0,-1832000000.0,-631000000.0,-2407000000.0,-984000000.0
Other Cashflows From Financing Activities,-126000000.0,79000000.0,-36000000.0,-110000000.0,-52000000.0,-93000000.0
Change To Netincome,1222000000.0,868000000.0,564000000.0,514000000.0,444000000.0,360000000.0
Capital Expenditures,-2257000000.0,-3217000000.0,-3807000000.0,-3183000000.0,-3270000000.0,-2944000000.0
Issuance Of Stock,17290000000.0,2550000000.0,,,,
