,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Intangible Assets,4451000000.0,4804000000.0,4747000000.0,4741000000.0,4687000000.0,4553000000.0,4495000000.0,4522000000.0
Capital Surplus,107668000000.0,107764000000.0,107846000000.0,107694000000.0,107820000000.0,107922000000.0,108003000000.0,108050000000.0
Total Liab,2040413000000.0,2039864000000.0,2059890000000.0,2110993000000.0,2124958000000.0,2160266000000.0,2088741000000.0,2195752000000.0
Total Stockholder Equity,173642000000.0,175896000000.0,179962000000.0,182269000000.0,184164000000.0,182880000000.0,182977000000.0,178714000000.0
Minority Interest,680000000.0,719000000.0,758000000.0,724000000.0,751000000.0,735000000.0,700000000.0,644000000.0
Other Current Liab,93546000000.0,93764000000.0,100070000000.0,120578000000.0,114388000000.0,117327000000.0,115146000000.0,188059000000.0
Total Assets,2232715000000.0,2234459000000.0,2260090000000.0,2314266000000.0,2327868000000.0,2361876000000.0,2291413000000.0,2394105000000.0
Common Stock,31000000.0,31000000.0,31000000.0,31000000.0,31000000.0,31000000.0,31000000.0,31000000.0
Retained Earnings,163431000000.0,165303000000.0,168272000000.0,174816000000.0,179686000000.0,183024000000.0,184948000000.0,187962000000.0
Other Liab,53389000000.0,51095000000.0,56895000000.0,57445000000.0,59114000000.0,71934000000.0,62671000000.0,94066000000.0
Good Will,21399000000.0,21624000000.0,22162000000.0,21905000000.0,22060000000.0,21573000000.0,21299000000.0,19865000000.0
Treasury Stock,-97488000000.0,-97202000000.0,-96187000000.0,-100272000000.0,-103373000000.0,-108097000000.0,-110005000000.0,-117329000000.0
Other Assets,766934000000.0,744693000000.0,758767000000.0,750840000000.0,770852000000.0,768175000000.0,763042000000.0,790378000000.0
Cash,295516000000.0,308407000000.0,282238000000.0,308792000000.0,281487000000.0,307175000000.0,234911000000.0,27768000000.0
Total Current Liabilities,1720349000000.0,1759915000000.0,1779833000000.0,1820813000000.0,1817569000000.0,1837458000000.0,1802336000000.0,1847732000000.0
Other Stockholder Equity,-33345000000.0,-33065000000.0,-32058000000.0,-35011000000.0,-35120000000.0,-36851000000.0,-38765000000.0,-43585000000.0
Total Current Assets,1006678000000.0,1012914000000.0,1024255000000.0,1060921000000.0,1040406000000.0,1063926000000.0,986855000000.0,1064738000000.0
Long Term Investments,433253000000.0,447524000000.0,447359000000.0,472959000000.0,487063000000.0,500849000000.0,512822000000.0,514602000000.0
Net Tangible Assets,148137000000.0,149802000000.0,153389000000.0,156056000000.0,157836000000.0,157163000000.0,157587000000.0,154847000000.0
Short Term Investments,282917000000.0,289358000000.0,294712000000.0,315072000000.0,309047000000.0,337696000000.0,327288000000.0,589729000000.0
Net Receivables,51633000000.0,51610000000.0,44806000000.0,60465000000.0,61138000000.0,59487000000.0,54340000000.0,89218000000.0
Long Term Debt,263475000000.0,225754000000.0,220865000000.0,229635000000.0,245275000000.0,247874000000.0,221381000000.0,253954000000.0
Inventory,44000000.0,42000000.0,43000000.0,43000000.0,33000000.0,21000000.0,27000000.0,26000000.0
Accounts Payable,1233660000000.0,1262623000000.0,1280671000000.0,1300975000000.0,1310281000000.0,1347528000000.0,1317230000000.0,1333711000000.0
Other Current Assets,14257000000.0,15288000000.0,27377000000.0,15890000000.0,17751000000.0,16633000000.0,38344000000.0,
Deferred Long Term Asset Charges,,,30988000000.0,,,,29812000000.0,
Short Long Term Debt,16300000000.0,47500000000.0,50821000000.0,26700000000.0,19300000000.0,10400000000.0,32993000000.0,
Property Plant Equipment,,2900000000.0,2800000000.0,2900000000.0,2800000000.0,2800000000.0,2900000000.0,
