,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Change To Liabilities,-31635000.0,93900000.0,-40672000.0,6330000.0,250000000.0,0.0,6000000.0,163000000.0
Total Cashflows From Investing Activities,-42749000.0,-34853000.0,-41124000.0,-68737000.0,115000000.0,-85000000.0,45000000.0,-93000000.0
Net Borrowings,-11415000.0,-12987000.0,-111337000.0,-11691000.0,-116000000.0,-9000000.0,-405000000.0,-76000000.0
Total Cash From Financing Activities,-107228000.0,-107361000.0,-203420000.0,-93561000.0,-215000000.0,-212000000.0,-595000000.0,-282000000.0
Change To Operating Activities,-31569000.0,4403000.0,40582000.0,75445000.0,47000000.0,-73000000.0,55000000.0,-62000000.0
Issuance Of Stock,,3000000.0,3000000.0,3000000.0,3000000.0,2000000.0,3000000.0,1000000.0
Net Income,124607000.0,86204000.0,84828000.0,67589000.0,-42000000.0,28000000.0,194000000.0,90000000.0
Change In Cash,-175561000.0,63550000.0,-28408000.0,176346000.0,221000000.0,62000000.0,-148000000.0,-79000000.0
Repurchase Of Stock,-1275000.0,-6319000.0,-70000.0,-437000.0,-6000000.0,-13000000.0,-1000000.0,-1000000.0
Effect Of Exchange Rate,-42529000.0,14313000.0,9504000.0,39574000.0,-37000000.0,19000000.0,-26000000.0,-15000000.0
Total Cash From Operating Activities,16945000.0,191451000.0,206632000.0,299070000.0,358000000.0,340000000.0,428000000.0,311000000.0
Depreciation,80595000.0,79649000.0,83332000.0,81784000.0,242000000.0,322000000.0,297000000.0,295000000.0
Dividends Paid,-80038000.0,-80062000.0,-80173000.0,-82311000.0,-82000000.0,-192000000.0,-192000000.0,-201000000.0
Change To Inventory,-568000.0,-66680000.0,24477000.0,60695000.0,118000000.0,-248000000.0,-100000000.0,-133000000.0
Change To Account Receivables,-133291000.0,853000.0,38146000.0,33313000.0,-175000000.0,-30000000.0,-9000000.0,45000000.0
Other Cashflows From Financing Activities,-14500000.0,-7993000.0,-11840000.0,878000.0,-14000000.0,-5000000.0,-5000000.0,-5000000.0
Change To Netincome,8806000.0,-6878000.0,-24061000.0,-26086000.0,-82000000.0,341000000.0,-15000000.0,-87000000.0
Capital Expenditures,-48294000.0,-31739000.0,-44037000.0,-67724000.0,-93000000.0,-72000000.0,-77000000.0,-151000000.0
Other Cashflows From Investing Activities,1739000.0,-14597000.0,-14597000.0,,,,,
