,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,70832000.0,67995000.0,64999000.0,62114000.0,61768000.0,59070000.0,55786000.0,52678000.0,,46866000.0
Capital Surplus,788568000.0,811559000.0,828796000.0,854301000.0,868097000.0,883546000.0,894264000.0,908423000.0,,930950000.0
Total Liab,324204000.0,321430000.0,323858000.0,341589000.0,342281000.0,380232000.0,404065000.0,423319000.0,,408418000.0
Total Stockholder Equity,2355069000.0,2436352000.0,2470213000.0,2592819000.0,2639502000.0,2704918000.0,2739352000.0,2746582000.0,,2639216000.0
Minority Interest,861000.0,954000.0,861000.0,1292000.0,1168000.0,1362000.0,493000.0,639000.0,,1135000.0
Other Current Liab,101382000.0,90579000.0,97440000.0,116457000.0,106935000.0,127220000.0,135329000.0,139157000.0,147801000.0,144769000.0
Total Assets,2680134000.0,2758736000.0,2794932000.0,2935700000.0,2982951000.0,3086512000.0,3143910000.0,3170540000.0,,3048769000.0
Common Stock,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,,6000.0
Other Current Assets,53123000.0,64961000.0,62566000.0,72215000.0,70421000.0,64810000.0,34482000.0,36990000.0,,52912000.0
Retained Earnings,2065022000.0,2103248000.0,2138852000.0,2188191000.0,2256318000.0,2326118000.0,2401520000.0,2466607000.0,,2593147000.0
Other Liab,91750000.0,90073000.0,87296000.0,73803000.0,93821000.0,91654000.0,94509000.0,75092000.0,,92516000.0
Good Will,81627000.0,81911000.0,37731000.0,41366000.0,38764000.0,39000000.0,38705000.0,38609000.0,,39285000.0
Treasury Stock,-498527000.0,-478461000.0,-497441000.0,-449679000.0,-484919000.0,-504752000.0,-556438000.0,-628454000.0,,-884887000.0
Other Assets,71516000.0,72007000.0,84151000.0,64896000.0,79247000.0,85430000.0,99668000.0,74580000.0,100474000.0,111253000.0
Cash,570058000.0,747859000.0,763920000.0,876231000.0,896741000.0,754199000.0,794904000.0,709105000.0,,771788000.0
Total Current Liabilities,195432000.0,195286000.0,201445000.0,214578000.0,214753000.0,255905000.0,292840000.0,313433000.0,,315902000.0
Deferred Long Term Asset Charges,32801000.0,30544000.0,38616000.0,43197000.0,41276000.0,45751000.0,49008000.0,47761000.0,,60563000.0
Short Long Term Debt,3757000.0,3775000.0,3792000.0,3810000.0,3828000.0,3846000.0,18788000.0,18126000.0,,32225000.0
Other Stockholder Equity,-220081000.0,-184501000.0,-193827000.0,-146065000.0,-178257000.0,-159407000.0,-174753000.0,-189951000.0,,-134778000.0
Property Plant Equipment,580980000.0,585644000.0,576398000.0,619247000.0,600911000.0,612420000.0,624576000.0,656990000.0,,680321000.0
Total Current Assets,1874526000.0,1950526000.0,2031653000.0,2148077000.0,2202261000.0,2290592000.0,2325175000.0,2347683000.0,,2170851000.0
Long Term Investments,653000.0,653000.0,,,,,,,37000.0,193000.0
Net Tangible Assets,2202610000.0,2286446000.0,2367483000.0,2489339000.0,2538970000.0,2606848000.0,2644861000.0,2655295000.0,,2553065000.0
Short Term Investments,625085000.0,501040000.0,537696000.0,514835000.0,548196000.0,743210000.0,724103000.0,805400000.0,,462865000.0
Net Receivables,209292000.0,211917000.0,247123000.0,273320000.0,260547000.0,257713000.0,280209000.0,271466000.0,267306000.0,257773000.0
Inventory,363383000.0,367166000.0,370344000.0,364993000.0,368149000.0,404547000.0,435070000.0,460747000.0,,556747000.0
Accounts Payable,39648000.0,42261000.0,37375000.0,25748000.0,44704000.0,50714000.0,52428000.0,55839000.0,,57276000.0
Long Term Debt,37022000.0,36071000.0,35117000.0,34760000.0,33707000.0,32673000.0,16716000.0,16273000.0,,
