,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Net Income,36403000.0,38226000.0,35604000.0,49339000.0,68127000.0,69800000.0,75402000.0,65087000.0,0.0
Change To Account Receivables,34492000.0,-1481000.0,-30703000.0,-15330000.0,7360000.0,5165000.0,-24806000.0,10190000.0,2621000.0
Change To Liabilities,6054000.0,7191000.0,-4426000.0,-10761000.0,18980000.0,5899000.0,1417000.0,4701000.0,-8448000.0
Change To Operating Activities,-15596000.0,-2187000.0,-1774000.0,1003000.0,-19013000.0,17421000.0,732000.0,1878000.0,-28396000.0
Investments,-122171000.0,123762000.0,-36504000.0,22582000.0,-33401000.0,-195609000.0,18262000.0,-82320000.0,
Total Cashflows From Investing Activities,-139754000.0,104550000.0,-60874000.0,-3496000.0,-60694000.0,-222949000.0,-21181000.0,-111458000.0,
Net Borrowings,-928000.0,-934000.0,-936000.0,-942000.0,-946000.0,-950000.0,-955000.0,-959000.0,
Total Cash From Financing Activities,-20792000.0,-2679000.0,-2094000.0,15485000.0,-1637000.0,-34047000.0,-36435000.0,-52947000.0,
Issuance Of Stock,8271000.0,8271000.0,8496000.0,16427000.0,4981000.0,5586000.0,860000.0,4831000.0,
Change In Cash,-110643000.0,177701000.0,16008000.0,112503000.0,18188000.0,-142542000.0,40705000.0,-85799000.0,
Repurchase Of Stock,-18214000.0,-10016000.0,-9654000.0,-3048000.0,-3048000.0,-38683000.0,-36340000.0,-56818000.0,
Effect Of Exchange Rate,-6878000.0,2355000.0,9215000.0,15196000.0,-7024000.0,-1193000.0,-3645000.0,-5938000.0,
Total Cash From Operating Activities,56781000.0,73475000.0,69761000.0,85318000.0,87543000.0,115647000.0,101966000.0,84544000.0,
Depreciation,24099000.0,23251000.0,23838000.0,23366000.0,23819000.0,24157000.0,24151000.0,24203000.0,
Other Cashflows From Investing Activities,79000.0,36000.0,-98000.0,-24000.0,-2000.0,-545000.0,-531000.0,-437000.0,
Change To Inventory,-10429000.0,-4731000.0,-19053000.0,-5687000.0,-20084000.0,-41136000.0,-44164000.0,-44370000.0,
Other Cashflows From Financing Activities,-1650000.0,,,-2624000.0,-2624000.0,-1000.0,-1000.0,-1000.0,
Change To Netincome,2770000.0,36030000.0,50784000.0,38380000.0,23201000.0,28090000.0,23636000.0,24001000.0,
Capital Expenditures,-17801000.0,-19569000.0,-24501000.0,-25825000.0,-27421000.0,-26923000.0,-39513000.0,-29251000.0,
