,2020-08-02,2020-11-01,2021-01-31,2021-05-02,2021-08-01,2021-10-31,2022-01-30,2022-05-01,2022-07-31
Intangible Assets,3483800000.0,3463100000.0,3518200000.0,3508100000.0,3403600000.0,3376100000.0,3307000000.0,3252200000.0,3203000000.0
Capital Surplus,3096900000.0,3111700000.0,3129400000.0,3141300000.0,3155100000.0,3181800000.0,3198400000.0,3208400000.0,3220900000.0
Total Liab,8671700000.0,8584000000.0,8566600000.0,7865800000.0,7764500000.0,7644300000.0,7108000000.0,6620800000.0,6715900000.0
Total Stockholder Equity,4583500000.0,4676200000.0,4730300000.0,4839400000.0,5032800000.0,5171700000.0,5288800000.0,5268500000.0,5206400000.0
Other Current Liab,98200000.0,59000000.0,110500000.0,84800000.0,61100000.0,39400000.0,46600000.0,41700000.0,56600000.0
Total Assets,13252500000.0,13257200000.0,13293500000.0,12701600000.0,12797300000.0,12816000000.0,12396800000.0,11889300000.0,11922300000.0
Common Stock,86200000.0,86200000.0,86300000.0,86500000.0,86700000.0,87000000.0,87100000.0,87300000.0,87500000.0
Other Current Assets,55500000.0,69300000.0,50400000.0,68100000.0,176600000.0,94200000.0,128400000.0,153600000.0,150300000.0
Retained Earnings,3601100000.0,3670900000.0,3613200000.0,3713100000.0,3895000000.0,4172000000.0,4562800000.0,4693300000.0,4806000000.0
Other Liab,1098300000.0,1080400000.0,1030400000.0,1069700000.0,1098000000.0,1081000000.0,783300000.0,792900000.0,779700000.0
Good Will,2885400000.0,2881900000.0,2954300000.0,2947400000.0,2920200000.0,2894200000.0,2828900000.0,2745900000.0,2694500000.0
Treasury Stock,-2200700000.0,-2192600000.0,-2098600000.0,-2101500000.0,-2104000000.0,-2269100000.0,-2559500000.0,-2720500000.0,-2908000000.0
Other Assets,220800000.0,224300000.0,205800000.0,200500000.0,198800000.0,200300000.0,186800000.0,191500000.0,203200000.0
Cash,1394300000.0,1460000000.0,1651400000.0,913200000.0,1152600000.0,1298700000.0,1242500000.0,748700000.0,699300000.0
Total Current Liabilities,2526100000.0,2567900000.0,2582400000.0,2388500000.0,2531400000.0,2659300000.0,2787500000.0,2428700000.0,2656500000.0
Deferred Long Term Asset Charges,61600000.0,66900000.0,57200000.0,57100000.0,52400000.0,54000000.0,46100000.0,41000000.0,42000000.0
Short Long Term Debt,23100000.0,28500000.0,44300000.0,28800000.0,31700000.0,33600000.0,34800000.0,36200000.0,38200000.0
Other Stockholder Equity,-622600000.0,-614300000.0,-519100000.0,-512800000.0,-512300000.0,-524400000.0,-612700000.0,-668500000.0,-726400000.0
Property Plant Equipment,2671600000.0,2566900000.0,2507500000.0,2403500000.0,2365700000.0,2329200000.0,2255100000.0,2175800000.0,2072300000.0
Total Current Assets,3846800000.0,3967900000.0,3943700000.0,3483000000.0,3754300000.0,3858900000.0,3653700000.0,3365000000.0,3584400000.0
Long Term Investments,144100000.0,153100000.0,164000000.0,159100000.0,154700000.0,157300000.0,165300000.0,158900000.0,164900000.0
Net Tangible Assets,-1785700000.0,-1668800000.0,-1742200000.0,-1616100000.0,-1291000000.0,-1098600000.0,-847100000.0,-729600000.0,-691100000.0
Net Receivables,596200000.0,818700000.0,666600000.0,883300000.0,847200000.0,936600000.0,765300000.0,872500000.0,837500000.0
Long Term Debt,3501200000.0,3466100000.0,3515200000.0,3019200000.0,2783200000.0,2605300000.0,2317600000.0,2216500000.0,2155500000.0
Inventory,1642200000.0,1483500000.0,1417100000.0,1450900000.0,1421300000.0,1379600000.0,1348500000.0,1389700000.0,1689900000.0
Accounts Payable,1048200000.0,1134400000.0,1124200000.0,1023800000.0,1069500000.0,1051300000.0,1220800000.0,1062200000.0,1359000000.0
Minority Interest,-2700000.0,-3000000.0,-3400000.0,-3600000.0,,,,,
