,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,-781000.0,-690000.0,-1289000.0,-2372000.0,846000.0,737000.0,644000.0,517000.0,2731000.0
Change To Liabilities,9375000.0,8952000.0,-9087000.0,7987000.0,-5845000.0,13363000.0,-8723000.0,-5419000.0,-159000.0
Total Cashflows From Investing Activities,-105366000.0,-116374000.0,5189000.0,-74841000.0,-435133000.0,-151868000.0,1724000.0,-88194000.0,-211865000.0
Net Borrowings,107077000.0,-1588000.0,-182195000.0,-48845000.0,-102465000.0,-8997000.0,-117336000.0,-869000.0,-16929000.0
Total Cash From Financing Activities,24544000.0,-83464000.0,-178239000.0,-48719000.0,-188476000.0,-95990000.0,-119782000.0,-11849000.0,70781000.0
Change To Operating Activities,2215000.0,-18268000.0,11321000.0,7468000.0,11453000.0,-13864000.0,48000.0,-4824000.0,24111000.0
Issuance Of Stock,78000.0,73000.0,99007000.0,87329000.0,85702000.0,85702000.0,85702000.0,82819000.0,176778000.0
Net Income,10507000.0,-28289000.0,94725000.0,48236000.0,46204000.0,52122000.0,114936000.0,51984000.0,61676000.0
Change In Cash,-18189000.0,-112798000.0,-71543000.0,-8454000.0,-491506000.0,-129031000.0,-12742000.0,3026000.0,16368000.0
Repurchase Of Stock,-15000.0,-38000.0,-17000.0,-2805000.0,-51000.0,-133000.0,-59000.0,-4601000.0,-37000.0
Total Cash From Operating Activities,62633000.0,87040000.0,101507000.0,115106000.0,132103000.0,118827000.0,105316000.0,103069000.0,157452000.0
Depreciation,62784000.0,65631000.0,60381000.0,63874000.0,67675000.0,70611000.0,69359000.0,71674000.0,74461000.0
Other Cashflows From Investing Activities,1566000.0,-745000.0,-6412000.0,-2955000.0,-6310000.0,-4814000.0,-7911000.0,-4577000.0,-5052000.0
Dividends Paid,-80976000.0,-80979000.0,-81743000.0,-82913000.0,-83934000.0,-84002000.0,-84807000.0,-85684000.0,-85766000.0
Change To Account Receivables,-20140000.0,5591000.0,5505000.0,883000.0,3813000.0,161000.0,-3643000.0,-11257000.0,1005000.0
Other Cashflows From Financing Activities,-1620000.0,-932000.0,-13291000.0,-1485000.0,-2026000.0,-2858000.0,-3282000.0,-3514000.0,-3265000.0
Change To Netincome,-2108000.0,53423000.0,-61338000.0,-13342000.0,8803000.0,-3566000.0,-66661000.0,911000.0,-3642000.0
Capital Expenditures,-14596000.0,-16142000.0,-21534000.0,-15189000.0,-19781000.0,-13723000.0,-23035000.0,-18409000.0,-25615000.0
