,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,28740250000.0,27446484000.0,27253880000.0,26431094000.0
Capital Surplus,4651264000.0,5400774000.0,5045237000.0,5019179000.0
Total Liab,24788441000.0,24108654000.0,22774975000.0,20732122000.0
Total Stockholder Equity,13662220000.0,13780155000.0,12691256000.0,12159505000.0
Minority Interest,362477000.0,351138000.0,634206000.0,605847000.0
Other Current Liab,2127283000.0,2244125000.0,2472530000.0,2622968000.0
Total Assets,38813138000.0,38239947000.0,36100437000.0,33497474000.0
Common Stock,5273000.0,5261000.0,5259000.0,5246000.0
Other Current Assets,480549000.0,1804562000.0,550588000.0,631359000.0
Retained Earnings,9005199000.0,8374975000.0,7642343000.0,7137744000.0
Other Liab,4221838000.0,4343974000.0,4182027000.0,3888347000.0
Treasury Stock,484000.0,-855000.0,-1583000.0,-2664000.0
Other Assets,1113758000.0,1117414000.0,1139604000.0,424666000.0
Cash,4437662000.0,3370092000.0,1811308000.0,2589817000.0
Total Current Liabilities,5814040000.0,6084746000.0,6530129000.0,5780210000.0
Short Long Term Debt,1821918000.0,2027241000.0,2026563000.0,2008909000.0
Other Stockholder Equity,484000.0,-855000.0,-1583000.0,-2664000.0
Property Plant Equipment,2290505000.0,2286604000.0,2339345000.0,2385277000.0
Total Current Assets,6515906000.0,7022158000.0,5005471000.0,4108574000.0
Long Term Investments,152719000.0,149706000.0,148246000.0,147863000.0
Net Tangible Assets,-15078030000.0,-13883910000.0,-14776515000.0,-14271589000.0
Short Term Investments,135485000.0,362953000.0,983859000.0,40202000.0
Net Receivables,1087134000.0,1104202000.0,1143500000.0,531827000.0
Long Term Debt,14592121000.0,13512613000.0,11871444000.0,10849082000.0
Inventory,375076000.0,380349000.0,516216000.0,315369000.0
Accounts Payable,488770000.0,395397000.0,747533000.0,372266000.0
Good Will,,217581000.0,213891000.0,
