,2020-03-31,2020-06-30,2020-09-30,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,,,,482000000.0,711000000.0,683000000.0,651000000.0,665000000.0,638000000.0
Total Liab,,,,4920000000.0,12842000000.0,12953000000.0,12189000000.0,11847000000.0,11751000000.0
Total Stockholder Equity,7035000000.0,,,4722000000.0,-1934000000.0,-1618000000.0,-1508000000.0,-1250000000.0,-1137000000.0
Other Current Liab,,,,344000000.0,224000000.0,342000000.0,185000000.0,233000000.0,218000000.0
Total Assets,,,,9642000000.0,10908000000.0,11335000000.0,10681000000.0,10597000000.0,10614000000.0
Common Stock,,,,5411000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
Other Current Assets,,,,889000000.0,782000000.0,893000000.0,596000000.0,731000000.0,780000000.0
Retained Earnings,,,,,-1473000000.0,-1128000000.0,-998000000.0,-724000000.0,-551000000.0
Other Liab,,,,2045000000.0,331000000.0,344000000.0,283000000.0,456000000.0,471000000.0
Good Will,,,,4603000000.0,4603000000.0,4603000000.0,4603000000.0,4603000000.0,4603000000.0
Treasury Stock,,,,-689000000.0,-464000000.0,-493000000.0,-513000000.0,-529000000.0,-589000000.0
Other Assets,,,,594000000.0,414000000.0,465000000.0,464000000.0,640000000.0,647000000.0
Cash,,,,141000000.0,730000000.0,1008000000.0,737000000.0,694000000.0,545000000.0
Total Current Liabilities,,,,2875000000.0,2975000000.0,3129000000.0,2597000000.0,2306000000.0,2396000000.0
Short Long Term Debt,,,,,39000000.0,39000000.0,9000000.0,9000000.0,9000000.0
Other Stockholder Equity,,,,-689000000.0,-464000000.0,-493000000.0,-513000000.0,-529000000.0,-589000000.0
Property Plant Equipment,,,,986000000.0,1269000000.0,1255000000.0,1203000000.0,970000000.0,952000000.0
Total Current Assets,,,,2977000000.0,3911000000.0,4329000000.0,3760000000.0,3719000000.0,3774000000.0
Net Tangible Assets,1863000000.0,,,-363000000.0,-7248000000.0,-6904000000.0,-6762000000.0,-6518000000.0,-6378000000.0
Net Receivables,,,,1023000000.0,1528000000.0,1510000000.0,1512000000.0,1348000000.0,1499000000.0
Long Term Debt,,,,,9309000000.0,9259000000.0,9125000000.0,9085000000.0,8884000000.0
Inventory,,,,924000000.0,871000000.0,918000000.0,915000000.0,946000000.0,950000000.0
Accounts Payable,,,,818000000.0,1812000000.0,1673000000.0,1382000000.0,1081000000.0,1130000000.0
Deferred Long Term Asset Charges,,,,,,,272000000.0,,
