,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,3256000000.0,3019000000.0,2941000000.0,2843000000.0,2773000000.0,2702000000.0,2631000000.0,2562000000.0,2492000000.0,2431000000.0
Capital Surplus,6595000000.0,6648000000.0,6687000000.0,7787000000.0,8155000000.0,8481000000.0,8796000000.0,9052000000.0,9295000000.0,9475000000.0
Total Liab,152435000000.0,174254000000.0,172814000000.0,170211000000.0,167876000000.0,165420000000.0,161112000000.0,153398000000.0,151069000000.0,150270000000.0
Total Stockholder Equity,-9665000000.0,-11667000000.0,-11821000000.0,-18316000000.0,-18058000000.0,-16682000000.0,-14440000000.0,-14999000000.0,-15398000000.0,-14888000000.0
Minority Interest,305000000.0,285000000.0,268000000.0,241000000.0,217000000.0,197000000.0,174000000.0,153000000.0,130000000.0,97000000.0
Other Current Liab,53347000000.0,53692000000.0,52181000000.0,60252000000.0,50970000000.0,50773000000.0,51329000000.0,59839000000.0,52564000000.0,52254000000.0
Total Assets,143075000000.0,162872000000.0,161261000000.0,152136000000.0,150035000000.0,148935000000.0,146846000000.0,138552000000.0,135801000000.0,135479000000.0
Common Stock,5061000000.0,5061000000.0,5061000000.0,5061000000.0,5061000000.0,5061000000.0,5061000000.0,5061000000.0,5061000000.0,5061000000.0
Other Current Assets,2739000000.0,2624000000.0,5213000000.0,4286000000.0,4123000000.0,4187000000.0,2664000000.0,2221000000.0,2356000000.0,2086000000.0
Retained Earnings,49854000000.0,47478000000.0,47029000000.0,38610000000.0,38073000000.0,38660000000.0,38551000000.0,34408000000.0,33189000000.0,33382000000.0
Other Liab,24179000000.0,23315000000.0,23182000000.0,19957000000.0,20430000000.0,20171000000.0,18299000000.0,13329000000.0,14227000000.0,13677000000.0
Good Will,8057000000.0,8064000000.0,8071000000.0,8081000000.0,8074000000.0,8076000000.0,8070000000.0,8068000000.0,8065000000.0,8055000000.0
Treasury Stock,-71175000000.0,-70854000000.0,-70598000000.0,-69774000000.0,-69347000000.0,-68884000000.0,-66848000000.0,-63520000000.0,-62943000000.0,-62806000000.0
Other Assets,5106000000.0,6210000000.0,4206000000.0,3546000000.0,4725000000.0,4973000000.0,5386000000.0,4231000000.0,5905000000.0,5853000000.0
Cash,15039000000.0,19992000000.0,10564000000.0,7752000000.0,7059000000.0,8271000000.0,9764000000.0,8052000000.0,7409000000.0,10090000000.0
Total Current Liabilities,94502000000.0,92482000000.0,92307000000.0,87280000000.0,89892000000.0,88224000000.0,85771000000.0,81992000000.0,81692000000.0,84799000000.0
Deferred Long Term Asset Charges,678000000.0,729000000.0,704000000.0,86000000.0,79000000.0,84000000.0,74000000.0,77000000.0,91000000.0,106000000.0
Short Long Term Debt,4873000000.0,2222000000.0,2734000000.0,793000000.0,5121000000.0,6034000000.0,5077000000.0,932000000.0,2291000000.0,5106000000.0
Other Stockholder Equity,-16333000000.0,-16025000000.0,-15779000000.0,-17133000000.0,-16952000000.0,-16661000000.0,-14818000000.0,-11659000000.0,-11370000000.0,-11487000000.0
Property Plant Equipment,12405000000.0,12182000000.0,11969000000.0,13072000000.0,11643000000.0,11341000000.0,11113000000.0,12355000000.0,10755000000.0,10617000000.0
Total Current Assets,111011000000.0,130277000000.0,131012000000.0,121642000000.0,119945000000.0,119095000000.0,116888000000.0,108666000000.0,106012000000.0,106000000000.0
Long Term Investments,1124000000.0,1066000000.0,1052000000.0,1016000000.0,980000000.0,883000000.0,963000000.0,975000000.0,992000000.0,981000000.0
Net Tangible Assets,-20978000000.0,-22750000000.0,-22833000000.0,-29240000000.0,-28905000000.0,-27460000000.0,-25141000000.0,-25629000000.0,-25955000000.0,-25374000000.0
Short Term Investments,488000000.0,12438000000.0,16552000000.0,17838000000.0,14861000000.0,13071000000.0,10231000000.0,8192000000.0,4873000000.0,1358000000.0
Net Receivables,12576000000.0,11363000000.0,11622000000.0,9950000000.0,11141000000.0,11693000000.0,12256000000.0,11261000000.0,11398000000.0,12390000000.0
Long Term Debt,32093000000.0,57024000000.0,56106000000.0,60987000000.0,56814000000.0,55818000000.0,55636000000.0,55490000000.0,53743000000.0,50378000000.0
Inventory,80020000000.0,83745000000.0,86961000000.0,81715000000.0,82668000000.0,81799000000.0,81897000000.0,78823000000.0,79819000000.0,79917000000.0
Accounts Payable,14963000000.0,13700000000.0,14479000000.0,12928000000.0,12410000000.0,11450000000.0,10151000000.0,9261000000.0,8779000000.0,9575000000.0
