,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Net Income,-628000000.0,-2376000000.0,-449000000.0,-8420000000.0,-537000000.0,587000000.0,-109000000.0,-4143000000.0
Change To Liabilities,307000000.0,-1666000000.0,-1516000000.0,-3548000000.0,-398000000.0,-1386000000.0,-1000000000.0,0.0
Investments,-17000000.0,-11997000000.0,-4060000000.0,-1267000000.0,3050000000.0,1831000000.0,2881000000.0,
Total Cashflows From Investing Activities,-379000000.0,-12307000000.0,-4137000000.0,-1543000000.0,2764000000.0,1659000000.0,2966000000.0,
Net Borrowings,11579000000.0,22458000000.0,-467000000.0,2680000000.0,-33000000.0,-23000000.0,-1171000000.0,
Total Cash From Financing Activities,10280000000.0,22462000000.0,-468000000.0,2681000000.0,-48000000.0,-19000000.0,-1171000000.0,
Change To Operating Activities,-327000000.0,1117000000.0,188000000.0,-140000000.0,-1742000000.0,-1033000000.0,-618000000.0,
Issuance Of Stock,21000000.0,6000000.0,4000000.0,5000000.0,23000000.0,6000000.0,7000000.0,
Change In Cash,5552000000.0,4911000000.0,-9387000000.0,-2812000000.0,-689000000.0,1161000000.0,1513000000.0,
Repurchase Of Stock,-162000000.0,-2000000.0,-5000000.0,-4000000.0,-38000000.0,-2000000.0,-7000000.0,
Effect Of Exchange Rate,-47000000.0,36000000.0,37000000.0,59000000.0,-18000000.0,4000000.0,-20000000.0,
Total Cash From Operating Activities,-4302000000.0,-5280000000.0,-4819000000.0,-4009000000.0,-3387000000.0,-483000000.0,-262000000.0,
Depreciation,556000000.0,547000000.0,565000000.0,578000000.0,536000000.0,551000000.0,523000000.0,
Other Cashflows From Investing Activities,8000000.0,6000000.0,6000000.0,-32000000.0,3000000.0,1000000.0,2000000.0,
Change To Inventory,-2973000000.0,-3768000000.0,-2912000000.0,-1349000000.0,-680000000.0,1093000000.0,95000000.0,
Change To Account Receivables,-456000000.0,884000000.0,-247000000.0,1647000000.0,-1184000000.0,-546000000.0,-560000000.0,
Change To Netincome,111000000.0,984000000.0,62000000.0,7395000000.0,652000000.0,347000000.0,266000000.0,
Capital Expenditures,-428000000.0,-348000000.0,-262000000.0,-265000000.0,-291000000.0,-222000000.0,-245000000.0,
Dividends Paid,-1158000000.0,,,,,,,
