,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Change To Liabilities,-10000000.0,78000000.0,-66000000.0,-1000000.0,24000000.0
Total Cashflows From Investing Activities,-3161000000.0,-3361000000.0,-3080000000.0,-3258000000.0,7957000000.0
Net Borrowings,1462000000.0,1145000000.0,458000000.0,1376000000.0,-5036000000.0
Total Cash From Financing Activities,824000000.0,690000000.0,836000000.0,386000000.0,-7390000000.0
Change To Operating Activities,-540000000.0,-342000000.0,-314000000.0,-144000000.0,-171000000.0
Issuance Of Stock,453000000.0,698000000.0,1167000000.0,34000000.0,9000000.0
Net Income,1128000000.0,1827000000.0,1746000000.0,1469000000.0,-1480000000.0
Change In Cash,139000000.0,132000000.0,39000000.0,-217000000.0,3129000000.0
Repurchase Of Stock,,-1003000000.0,-1003000000.0,-1003000000.0,-1003000000.0
Effect Of Exchange Rate,15000000.0,-18000000.0,10000000.0,17000000.0,8000000.0
Total Cash From Operating Activities,2461000000.0,2821000000.0,2427000000.0,2746000000.0,2270000000.0
Depreciation,1105000000.0,1172000000.0,1007000000.0,1080000000.0,1121000000.0
Other Cashflows From Investing Activities,-28000000.0,-64000000.0,-837000000.0,-988000000.0,9930000000.0
Dividends Paid,-1072000000.0,-1133000000.0,-1192000000.0,-1275000000.0,-1279000000.0
Change To Account Receivables,-81000000.0,69000000.0,-3000000.0,-70000000.0,-14000000.0
Other Cashflows From Financing Activities,-19000000.0,-20000000.0,403000000.0,251000000.0,-81000000.0
Change To Netincome,819000000.0,48000000.0,48000000.0,281000000.0,2763000000.0
Capital Expenditures,-3133000000.0,-3238000000.0,-2243000000.0,-2270000000.0,-1973000000.0
Investments,-59000000.0,-59000000.0,,,
Change To Inventory,40000000.0,17000000.0,,,
