,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Capital Surplus,1845500000.0,2045500000.0,2446000000.0,2704000000.0,2749000000.0
Total Liab,9805600000.0,10640300000.0,11296000000.0,11822000000.0,12563000000.0
Total Stockholder Equity,4182200000.0,4585700000.0,5205000000.0,5688000000.0,5990000000.0
Deferred Long Term Liab,1648100000.0,1743500000.0,1819000000.0,1992000000.0,1917000000.0
Other Current Liab,389500000.0,391200000.0,614000000.0,511000000.0,457000000.0
Total Assets,14187800000.0,15426000000.0,16701000000.0,17710000000.0,18553000000.0
Common Stock,2300000.0,2400000.0,2000000.0,2000000.0,3000000.0
Other Current Assets,130700000.0,159800000.0,231000000.0,204000000.0,344000000.0
Retained Earnings,2346000000.0,2545900000.0,2766000000.0,2994000000.0,3250000000.0
Other Liab,3646000000.0,3749900000.0,3695000000.0,3743000000.0,3751000000.0
Treasury Stock,-11600000.0,-8100000.0,-9000000.0,-12000000.0,-12000000.0
Other Assets,1652100000.0,1747200000.0,1830000000.0,2002000000.0,1980000000.0
Cash,27900000.0,20900000.0,16000000.0,54000000.0,39000000.0
Total Current Liabilities,2149000000.0,1644100000.0,2054000000.0,1297000000.0,2054000000.0
Short Long Term Debt,855700000.0,256500000.0,657000000.0,8000000.0,633000000.0
Other Stockholder Equity,-11600000.0,-8100000.0,-9000000.0,-12000000.0,-12000000.0
Property Plant Equipment,11234500000.0,12462400000.0,13527000000.0,14336000000.0,14987000000.0
Total Current Assets,905100000.0,785100000.0,876000000.0,887000000.0,1069000000.0
Long Term Investments,396100000.0,431300000.0,468000000.0,485000000.0,517000000.0
Net Tangible Assets,4182200000.0,4585700000.0,5205000000.0,5688000000.0,5990000000.0
Net Receivables,482800000.0,350400000.0,402000000.0,412000000.0,440000000.0
Long Term Debt,4010600000.0,5246300000.0,5533000000.0,6769000000.0,6735000000.0
Inventory,222400000.0,211800000.0,227000000.0,217000000.0,246000000.0
Accounts Payable,477300000.0,543300000.0,422000000.0,377000000.0,436000000.0
Minority Interest,200000000.0,200000000.0,200000000.0,200000000.0,
