,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Investments,-1824000000.0,-2504000000.0,-158000000.0,-940000000.0,-1909000000.0,-1728000000.0
Change To Liabilities,229000000.0,317000000.0,-368000000.0,509000000.0,459000000.0,492000000.0
Total Cashflows From Investing Activities,-1898000000.0,-2163000000.0,-915000000.0,-774000000.0,-2011000000.0,-1637000000.0
Net Borrowings,490000000.0,-500000000.0,-500000000.0,739000000.0,739000000.0,
Total Cash From Financing Activities,308000000.0,-210000000.0,-864000000.0,-477000000.0,188000000.0,-770000000.0
Change To Operating Activities,540000000.0,-233000000.0,-1223000000.0,-973000000.0,-161000000.0,-502000000.0
Issuance Of Stock,34000000.0,7000000.0,55000000.0,134000000.0,72000000.0,50000000.0
Net Income,-40000000.0,827000000.0,1310000000.0,733000000.0,934000000.0,662000000.0
Change In Cash,79000000.0,-40000000.0,138000000.0,-58000000.0,26000000.0,129000000.0
Repurchase Of Stock,-201000000.0,-201000000.0,-201000000.0,-397000000.0,-401000000.0,-601000000.0
Total Cash From Operating Activities,1664000000.0,2326000000.0,1901000000.0,1190000000.0,1849000000.0,2543000000.0
Depreciation,188000000.0,186000000.0,212000000.0,235000000.0,215000000.0,212000000.0
Other Cashflows From Investing Activities,-66000000.0,350000000.0,-677000000.0,209000000.0,-93000000.0,92000000.0
Dividends Paid,-216000000.0,-217000000.0,-218000000.0,-214000000.0,-222000000.0,-219000000.0
Change To Account Receivables,-245000000.0,247000000.0,418000000.0,-333000000.0,-385000000.0,256000000.0
Change To Netincome,-181000000.0,-225000000.0,337000000.0,-188000000.0,-467000000.0,142000000.0
Effect Of Exchange Rate,5000000.0,7000000.0,16000000.0,3000000.0,,-7000000.0
