,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,-8000000.0,-10000000.0,-4000000.0,-20000000.0,-4000000.0,-11000000.0,-255000000.0,-64000000.0,-64000000.0
Change To Liabilities,25000000.0,-102000000.0,417000000.0,-60000000.0,-73000000.0,38000000.0,240000000.0,0.0,-178000000.0
Total Cashflows From Investing Activities,-51000000.0,-30000000.0,-224000000.0,-194000000.0,-57000000.0,-1910000000.0,-458000000.0,-11000000.0,-11000000.0
Total Cash From Financing Activities,-642000000.0,-120000000.0,-354000000.0,-290000000.0,-502000000.0,927000000.0,-257000000.0,-360000000.0,-360000000.0
Change To Operating Activities,-7000000.0,54000000.0,-99000000.0,1000000.0,-71000000.0,72000000.0,-106000000.0,-186000000.0,-186000000.0
Issuance Of Stock,13000000.0,12000000.0,10000000.0,9000000.0,14000000.0,7000000.0,8000000.0,8000000.0,8000000.0
Net Income,509000000.0,467000000.0,314000000.0,736000000.0,577000000.0,474000000.0,427000000.0,0.0,327000000.0
Change In Cash,-42000000.0,393000000.0,105000000.0,172000000.0,40000000.0,-570000000.0,-428000000.0,-133000000.0,-133000000.0
Repurchase Of Stock,-29000000.0,-1000000.0,-253000000.0,-183000000.0,-399000000.0,-128000000.0,-123000000.0,-336000000.0,-336000000.0
Effect Of Exchange Rate,19000000.0,32000000.0,25000000.0,-20000000.0,5000000.0,-23000000.0,-12000000.0,-53000000.0,-53000000.0
Total Cash From Operating Activities,632000000.0,511000000.0,658000000.0,676000000.0,594000000.0,436000000.0,299000000.0,291000000.0,291000000.0
Depreciation,58000000.0,56000000.0,57000000.0,59000000.0,60000000.0,61000000.0,77000000.0,81000000.0,81000000.0
Other Cashflows From Investing Activities,2000000.0,2000000.0,-2000000.0,-22000000.0,-23000000.0,22000000.0,12000000.0,136000000.0,136000000.0
Dividends Paid,-105000000.0,-105000000.0,-105000000.0,-115000000.0,-117000000.0,-115000000.0,-116000000.0,-130000000.0,-130000000.0
Change To Account Receivables,18000000.0,62000000.0,-42000000.0,-71000000.0,42000000.0,-108000000.0,-120000000.0,180000000.0,180000000.0
Other Cashflows From Financing Activities,-29000000.0,-22000000.0,-6000000.0,-1000000.0,-15000000.0,-15000000.0,-20000000.0,98000000.0,98000000.0
Change To Netincome,24000000.0,-30000000.0,14000000.0,89000000.0,56000000.0,-97000000.0,-114000000.0,93000000.0,93000000.0
Capital Expenditures,-41000000.0,-21000000.0,-20000000.0,-14000000.0,-30000000.0,-33000000.0,-62000000.0,-74000000.0,-74000000.0
Net Borrowings,-492000000.0,-4000000.0,1178000000.0,1178000000.0,1178000000.0,1178000000.0,-6000000.0,,
