,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Change To Liabilities,528000000.0,-32000000.0,-695000000.0,-80000000.0,-109000000.0,-97000000.0
Total Cashflows From Investing Activities,-29000000.0,-13000000.0,-18000000.0,-16000000.0,2000000.0,-20000000.0
Net Borrowings,992000000.0,-1000000.0,-7000000.0,-516000000.0,-1202000000.0,2000000.0
Total Cash From Financing Activities,982000000.0,5000000.0,-55000000.0,-624000000.0,-1194000000.0,4000000.0
Change To Operating Activities,667000000.0,-92000000.0,121000000.0,5000000.0,-187000000.0,32000000.0
Issuance Of Stock,4000000.0,7000000.0,9000000.0,10000000.0,10000000.0,2000000.0
Net Income,-430000000.0,-79000000.0,-224000000.0,-108000000.0,130000000.0,241000000.0
Change In Cash,1770000000.0,-107000000.0,-205000000.0,-816000000.0,-1320000000.0,260000000.0
Effect Of Exchange Rate,1000000.0,1000000.0,6000000.0,-5000000.0,1000000.0,-2000000.0
Total Cash From Operating Activities,817000000.0,-100000000.0,-138000000.0,-171000000.0,-129000000.0,278000000.0
Depreciation,88000000.0,90000000.0,62000000.0,51000000.0,46000000.0,46000000.0
Change To Netincome,-43000000.0,6000000.0,86000000.0,-46000000.0,-16000000.0,47000000.0
Capital Expenditures,-18000000.0,-8000000.0,-8000000.0,-3000000.0,-6000000.0,-8000000.0
Other Cashflows From Investing Activities,5000000.0,-6000000.0,-6000000.0,-5000000.0,16000000.0,
Other Cashflows From Financing Activities,-14000000.0,-1000000.0,-57000000.0,-74000000.0,-2000000.0,
Repurchase Of Stock,-34000000.0,-34000000.0,-34000000.0,-34000000.0,,
Change To Account Receivables,488000000.0,488000000.0,488000000.0,,,
