,2019-10-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31
Investments,23670000.0,-161782000.0,-257484000.0,-415521000.0,-3147119000.0,-244699000.0,42601000.0,177134000.0,57491000.0,350000.0,-185163000.0
Change To Liabilities,45282000.0,-5507000.0,49419000.0,64021000.0,202070000.0,-5355000.0,75089000.0,58887000.0,404971000.0,-17283000.0,14859000.0
Total Cashflows From Investing Activities,19194000.0,-172004000.0,-269399000.0,-433635000.0,-3161607000.0,-264069000.0,36038000.0,171064000.0,36167000.0,-189792000.0,-196447000.0
Total Cash From Financing Activities,34920000.0,489469000.0,9123000.0,4254420000.0,22278000.0,67800000.0,24463000.0,50408000.0,35527000.0,-11846000.0,-22373000.0
Change To Operating Activities,-23022000.0,-27232000.0,5103000.0,-35553000.0,-29140000.0,-83506000.0,-12785000.0,-51051000.0,-66171000.0,-96846000.0,21032000.0
Issuance Of Stock,23581000.0,11031000.0,9864000.0,4252648000.0,22278000.0,67800000.0,24463000.0,50408000.0,36592000.0,41370000.0,8520000.0
Net Income,-88057000.0,-93644000.0,-77634000.0,-168889000.0,-198935000.0,-203220000.0,-189719000.0,-154856000.0,-132153000.0,-165794000.0,-222806000.0
Change In Cash,30364000.0,310873000.0,-298961000.0,3801031000.0,-3119726000.0,-174396000.0,54586000.0,236816000.0,150335000.0,-22123000.0,-156677000.0
Repurchase Of Stock,-63000.0,-30000.0,,,,,-53216000.0,-53216000.0,-53216000.0,-53216000.0,-30893000.0
Effect Of Exchange Rate,,-11000.0,-11000.0,-11000.0,-11000.0,19000.0,196000.0,-194000.0,-257000.0,-5098000.0,-2290000.0
Total Cash From Operating Activities,-23750000.0,-6592000.0,-38685000.0,-19754000.0,19614000.0,21854000.0,-6111000.0,15538000.0,78898000.0,184613000.0,64433000.0
Depreciation,893000.0,9647000.0,-5885000.0,2849000.0,3215000.0,4684000.0,5384000.0,5518000.0,5912000.0,9941000.0,16172000.0
Change To Account Receivables,6479000.0,82701000.0,-55572000.0,-17908000.0,-125510000.0,127179000.0,-71283000.0,-16754000.0,-290794000.0,266656000.0,-27087000.0
Change To Netincome,30159000.0,20217000.0,39044000.0,128559000.0,160306000.0,173756000.0,178362000.0,164127000.0,146081000.0,174738000.0,248493000.0
Capital Expenditures,-3157000.0,-2033000.0,-4715000.0,-17270000.0,-11019000.0,-6430000.0,-3497000.0,-2282000.0,-4012000.0,-7413000.0,-3848000.0
Other Cashflows From Financing Activities,-105000.0,-105000.0,-2831000.0,1772000.0,,-1065000.0,-1065000.0,-1065000.0,-1065000.0,,
Net Borrowings,2090000.0,2090000.0,2090000.0,,,,,,,,
