,2019-10-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31
Intangible Assets,,10400000.0,15695000.0,14820000.0,23446000.0,36227000.0,37668000.0,33597000.0,44595000.0,199277000.0,172254000.0
Total Liab,,605180000.0,673593000.0,745074000.0,985268000.0,970689000.0,1067451000.0,1156789000.0,1600653000.0,1564705000.0,1637792000.0
Total Stockholder Equity,,-604046000.0,-651399000.0,4967815000.0,4936471000.0,4958321000.0,4964965000.0,5006682000.0,5049045000.0,5457994000.0,5426323000.0
Deferred Long Term Liab,,68106000.0,72595000.0,73839000.0,86164000.0,89858000.0,96174000.0,101551000.0,124517000.0,124340000.0,129222000.0
Other Current Liab,,335375000.0,393521000.0,454475000.0,666172000.0,666156000.0,731904000.0,807316000.0,1210729000.0,1164505000.0,1144773000.0
Total Assets,,1416181000.0,1437241000.0,5712889000.0,5921739000.0,5929010000.0,6032416000.0,6163471000.0,6649698000.0,7022699000.0,7064115000.0
Common Stock,,6000.0,6000.0,28000.0,28000.0,30000.0,30000.0,30000.0,31000.0,32000.0,5426323000.0
Other Current Assets,,26086000.0,26279000.0,28063000.0,32371000.0,35448000.0,39265000.0,42896000.0,51398000.0,53943000.0,57908000.0
Other Liab,,10240000.0,11679000.0,10697000.0,11117000.0,13895000.0,17457000.0,19357000.0,22364000.0,21736000.0,21204000.0
Good Will,,7049000.0,8449000.0,8449000.0,8449000.0,8449000.0,8449000.0,8449000.0,8449000.0,502614000.0,502614000.0
Other Assets,,90720000.0,93888000.0,112541000.0,133986000.0,166146000.0,181148000.0,330306000.0,246067000.0,255669000.0,446544000.0
Cash,,437560000.0,138900000.0,3939925000.0,820177000.0,644674000.0,698548000.0,935217000.0,1085729000.0,1063401000.0,906663000.0
Total Current Liabilities,,406315000.0,477659000.0,547659000.0,789264000.0,776998000.0,875738000.0,958735000.0,1397093000.0,1363718000.0,1401436000.0
Property Plant Equipment,,222542000.0,229817000.0,242905000.0,248431000.0,252677000.0,249038000.0,271004000.0,287981000.0,290131000.0,352322000.0
Total Current Assets,,966553000.0,793448000.0,4986771000.0,4300652000.0,4221336000.0,4508102000.0,4308257000.0,4598643000.0,4341733000.0,4503697000.0
Long Term Investments,,118917000.0,295944000.0,347403000.0,1206775000.0,1244175000.0,1048011000.0,1211858000.0,1463963000.0,1433275000.0,1086684000.0
Net Tangible Assets,,-621495000.0,-675543000.0,4944546000.0,4904576000.0,4913645000.0,4918848000.0,4964636000.0,4996001000.0,4756103000.0,4751455000.0
Short Term Investments,,372503000.0,451976000.0,814123000.0,3087887000.0,3285751000.0,3436941000.0,2955613000.0,2766364000.0,2751679000.0,3046477000.0
Net Receivables,,96142000.0,151210000.0,168982000.0,294017000.0,166337000.0,237457000.0,254243000.0,559729000.0,291859000.0,304964000.0
Accounts Payable,,5576000.0,7713000.0,5061000.0,5647000.0,4371000.0,9475000.0,10559000.0,13441000.0,18442000.0,20286000.0
Capital Surplus,,188416000.0,219046000.0,6007898000.0,6175425000.0,6400566000.0,6596154000.0,6797354000.0,6984669000.0,7589712000.0,
Retained Earnings,,-793963000.0,-871597000.0,-1040486000.0,-1239421000.0,-1442641000.0,-1632360000.0,-1787216000.0,-1919369000.0,-2085163000.0,
Treasury Stock,,1495000.0,1146000.0,375000.0,439000.0,366000.0,1141000.0,-3486000.0,-16286000.0,-46587000.0,
Other Stockholder Equity,,1495000.0,1146000.0,375000.0,439000.0,366000.0,1141000.0,-3486000.0,-16286000.0,-46587000.0,
