,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Change To Liabilities,-6000000.0,37000000.0,141000000.0,68000000.0,299000000.0,349000000.0,-197000000.0,89000000.0
Total Cashflows From Investing Activities,-299000000.0,134000000.0,-69000000.0,258000000.0,328000000.0,5598000000.0,-130000000.0,-180000000.0
Net Borrowings,-763000000.0,-739000000.0,-573000000.0,-128000000.0,-780000000.0,-2904000000.0,-1340000000.0,19000000.0
Total Cash From Financing Activities,-982000000.0,-1042000000.0,-841000000.0,-504000000.0,-1211000000.0,-3359000000.0,-2301000000.0,-583000000.0
Change To Operating Activities,85000000.0,-97000000.0,55000000.0,32000000.0,-79000000.0,10000000.0,-11000000.0,-11000000.0
Net Income,266000000.0,204000000.0,153000000.0,349000000.0,432000000.0,864000000.0,107000000.0,360000000.0
Change In Cash,-392000000.0,-169000000.0,-83000000.0,192000000.0,-81000000.0,2915000000.0,-2326000000.0,-176000000.0
Repurchase Of Stock,-1000000.0,-1000000.0,-155000000.0,-155000000.0,-58000000.0,-212000000.0,-414000000.0,-428000000.0
Effect Of Exchange Rate,3000000.0,2000000.0,29000000.0,-20000000.0,27000000.0,-14000000.0,-2000000.0,-1000000.0
Total Cash From Operating Activities,890000000.0,735000000.0,789000000.0,512000000.0,766000000.0,645000000.0,107000000.0,588000000.0
Depreciation,309000000.0,317000000.0,315000000.0,306000000.0,309000000.0,308000000.0,287000000.0,261000000.0
Dividends Paid,-201000000.0,-202000000.0,-201000000.0,-202000000.0,-201000000.0,-199000000.0,-178000000.0,-174000000.0
Change To Inventory,5000000.0,9000000.0,-39000000.0,93000000.0,17000000.0,-243000000.0,-130000000.0,31000000.0
Change To Account Receivables,203000000.0,35000000.0,-4000000.0,-269000000.0,-289000000.0,-26000000.0,-61000000.0,-260000000.0
Change To Netincome,28000000.0,230000000.0,168000000.0,-67000000.0,77000000.0,-617000000.0,101000000.0,118000000.0
Capital Expenditures,-252000000.0,-119000000.0,-94000000.0,-89000000.0,-133000000.0,-126000000.0,-201000000.0,-185000000.0
Investments,250000000.0,250000000.0,397000000.0,397000000.0,403000000.0,43000000.0,65000000.0,
Other Cashflows From Financing Activities,-18000000.0,-100000000.0,-67000000.0,-19000000.0,-172000000.0,-44000000.0,-369000000.0,
Other Cashflows From Investing Activities,15000000.0,3000000.0,-19000000.0,-2000000.0,-2000000.0,4849000000.0,,
