,2017-07-29,2018-07-28,2019-07-27,2020-07-25,2021-07-31,2022-07-30
Investments,-1751000000.0,19091000000.0,17911000000.0,4428000000.0,2473000000.0,2327000000.0
Change To Liabilities,1994000000.0,1709000000.0,1494000000.0,2152000000.0,1507000000.0,1273000000.0
Total Cashflows From Investing Activities,-6036000000.0,15318000000.0,14837000000.0,3500000000.0,-5285000000.0,1553000000.0
Net Borrowings,5326000000.0,-8000000000.0,-1084000000.0,-10190000000.0,-3005000000.0,-1895000000.0
Total Cash From Financing Activities,-3806000000.0,-31764000000.0,-27889000000.0,-18886000000.0,-12039000000.0,-15962000000.0
Change To Operating Activities,-1830000000.0,30000000.0,-776000000.0,-889000000.0,1377000000.0,-266000000.0
Issuance Of Stock,708000000.0,623000000.0,640000000.0,655000000.0,643000000.0,660000000.0
Net Income,9609000000.0,110000000.0,11621000000.0,11214000000.0,10591000000.0,11812000000.0
Change In Cash,4034000000.0,-2780000000.0,2779000000.0,40000000.0,-1870000000.0,-1363000000.0
Repurchase Of Stock,-4304000000.0,-18250000000.0,-21579000000.0,-3386000000.0,-3513000000.0,-8381000000.0
Total Cash From Operating Activities,13876000000.0,13666000000.0,15831000000.0,15426000000.0,15454000000.0,13226000000.0
Depreciation,1915000000.0,1961000000.0,1774000000.0,1700000000.0,1731000000.0,1877000000.0
Other Cashflows From Investing Activities,-4000000.0,-19000000.0,-12000000.0,-10000000.0,-56000000.0,-15000000.0
Dividends Paid,-5511000000.0,-5968000000.0,-5979000000.0,-6016000000.0,-6163000000.0,-6224000000.0
Change To Inventory,-394000000.0,-244000000.0,131000000.0,84000000.0,-244000000.0,-1030000000.0
Change To Account Receivables,756000000.0,-269000000.0,-84000000.0,-107000000.0,-107000000.0,-1009000000.0
Other Cashflows From Financing Activities,-25000000.0,-169000000.0,113000000.0,51000000.0,-1000000.0,-122000000.0
Change To Netincome,1766000000.0,2251000000.0,1359000000.0,1594000000.0,1148000000.0,1259000000.0
Capital Expenditures,-964000000.0,-834000000.0,-909000000.0,-770000000.0,-692000000.0,-477000000.0
Effect Of Exchange Rate,,,,,,-180000000.0
