,2020-07-25,2020-10-24,2021-01-23,2021-05-01,2021-07-31,2021-10-30,2022-01-29,2022-04-30,2022-07-30
Intangible Assets,1576000000.0,1581000000.0,1462000000.0,3716000000.0,3619000000.0,3350000000.0,3079000000.0,2811000000.0,2569000000.0
Total Liab,56933000000.0,56846000000.0,56480000000.0,53691000000.0,56222000000.0,53280000000.0,54766000000.0,52397000000.0,54229000000.0
Total Stockholder Equity,37920000000.0,38157000000.0,39121000000.0,40205000000.0,41275000000.0,42701000000.0,39496000000.0,40400000000.0,39773000000.0
Other Current Liab,16504000000.0,16228000000.0,16588000000.0,16031000000.0,17081000000.0,16708000000.0,17373000000.0,17259000000.0,18309000000.0
Total Assets,94853000000.0,95003000000.0,95601000000.0,93896000000.0,97497000000.0,95981000000.0,94262000000.0,92797000000.0,94002000000.0
Common Stock,41202000000.0,41360000000.0,41690000000.0,41949000000.0,42346000000.0,42621000000.0,42291000000.0,42587000000.0,42714000000.0
Other Current Assets,2343000000.0,2528000000.0,2513000000.0,2567000000.0,2880000000.0,3028000000.0,3624000000.0,4054000000.0,4355000000.0
Retained Earnings,-2763000000.0,-2756000000.0,-2351000000.0,-1456000000.0,-654000000.0,553000000.0,-2006000000.0,-724000000.0,-1319000000.0
Other Liab,19363000000.0,19596000000.0,18970000000.0,19226000000.0,20116000000.0,20212000000.0,19119000000.0,19083000000.0,19449000000.0
Good Will,33806000000.0,34535000000.0,34733000000.0,37690000000.0,38168000000.0,38802000000.0,38679000000.0,38452000000.0,38304000000.0
Treasury Stock,-519000000.0,-447000000.0,-218000000.0,-288000000.0,-417000000.0,-473000000.0,-789000000.0,-1463000000.0,-1622000000.0
Other Assets,11077000000.0,10982000000.0,10695000000.0,10619000000.0,12316000000.0,10360000000.0,9891000000.0,9833000000.0,11912000000.0
Cash,11809000000.0,10822000000.0,11793000000.0,7350000000.0,9175000000.0,7619000000.0,6731000000.0,6952000000.0,7079000000.0
Total Current Liabilities,25331000000.0,26991000000.0,27268000000.0,24262000000.0,26257000000.0,23238000000.0,25915000000.0,24150000000.0,25640000000.0
Deferred Long Term Asset Charges,3990000000.0,4138000000.0,4109000000.0,4070000000.0,4360000000.0,4198000000.0,4269000000.0,4276000000.0,4449000000.0
Short Long Term Debt,3005000000.0,5002000000.0,5000000000.0,2000000000.0,2508000000.0,506000000.0,502000000.0,1000000000.0,499000000.0
Other Stockholder Equity,-519000000.0,-447000000.0,-218000000.0,-288000000.0,-417000000.0,-473000000.0,-789000000.0,-1463000000.0,-1622000000.0
Property Plant Equipment,3374000000.0,3365000000.0,3360000000.0,3295000000.0,3433000000.0,3356000000.0,3218000000.0,3070000000.0,3000000000.0
Total Current Assets,43573000000.0,42989000000.0,43911000000.0,37060000000.0,39112000000.0,37588000000.0,36799000000.0,35981000000.0,36717000000.0
Long Term Investments,1447000000.0,1551000000.0,1440000000.0,1516000000.0,849000000.0,2525000000.0,2596000000.0,2650000000.0,1500000000.0
Net Tangible Assets,2538000000.0,2041000000.0,2926000000.0,-1201000000.0,-512000000.0,549000000.0,-2262000000.0,-863000000.0,-1100000000.0
Short Term Investments,17610000000.0,19190000000.0,18795000000.0,16229000000.0,15343000000.0,15727000000.0,14382000000.0,13156000000.0,12188000000.0
Net Receivables,10523000000.0,9142000000.0,9373000000.0,9335000000.0,10146000000.0,9376000000.0,10000000000.0,9587000000.0,10527000000.0
Long Term Debt,11578000000.0,9564000000.0,9554000000.0,9532000000.0,9018000000.0,8996000000.0,8969000000.0,8425000000.0,8416000000.0
Inventory,1282000000.0,1303000000.0,1436000000.0,1579000000.0,1559000000.0,1832000000.0,2059000000.0,2231000000.0,2568000000.0
Accounts Payable,2359000000.0,2451000000.0,2019000000.0,2569000000.0,2513000000.0,2440000000.0,2300000000.0,2525000000.0,2594000000.0
