,2020-07-25,2020-10-24,2021-01-23,2021-05-01,2021-07-31,2021-10-30,2022-01-29,2022-04-30,2022-07-30,2022-10-29
Investments,793000000.0,-1713000000.0,398000000.0,2587000000.0,1201000000.0,-563000000.0,1193000000.0,774000000.0,923000000.0,-603000000.0
Change To Liabilities,1495000000.0,28000000.0,-160000000.0,419000000.0,1220000000.0,-188000000.0,140000000.0,286000000.0,1035000000.0,-36000000.0
Total Cashflows From Investing Activities,499000000.0,-2710000000.0,182000000.0,-3105000000.0,348000000.0,-1020000000.0,1051000000.0,653000000.0,869000000.0,-799000000.0
Net Borrowings,-1500000000.0,-3000000000.0,-3000000000.0,-3000000000.0,-5000000.0,-2000000000.0,2008000000.0,-2000000000.0,97000000.0,-602000000.0
Total Cash From Financing Activities,-2859000000.0,-2373000000.0,-2178000000.0,-5219000000.0,-2269000000.0,-3970000000.0,-4399000000.0,-4097000000.0,-3496000000.0,-2855000000.0
Change To Operating Activities,-549000000.0,-250000000.0,895000000.0,-142000000.0,874000000.0,-212000000.0,359000000.0,-632000000.0,219000000.0,-386000000.0
Issuance Of Stock,320000000.0,1000000.0,305000000.0,1000000.0,336000000.0,306000000.0,306000000.0,354000000.0,354000000.0,
Net Income,2636000000.0,2174000000.0,2545000000.0,2863000000.0,3009000000.0,2980000000.0,2973000000.0,3044000000.0,2815000000.0,2670000000.0
Change In Cash,1442000000.0,-987000000.0,978000000.0,-4444000000.0,2583000000.0,-1563000000.0,-887000000.0,217000000.0,870000000.0,213000000.0
Repurchase Of Stock,-208000000.0,-889000000.0,-997000000.0,-629000000.0,-998000000.0,-406000000.0,-5110000000.0,-377000000.0,-2488000000.0,-664000000.0
Effect Of Exchange Rate,,,,,,-180000000.0,-180000000.0,-180000000.0,-180000000.0,-95000000.0
Total Cash From Operating Activities,3802000000.0,4096000000.0,2974000000.0,3880000000.0,4504000000.0,3427000000.0,2461000000.0,3661000000.0,3677000000.0,3962000000.0
Depreciation,336000000.0,451000000.0,436000000.0,486000000.0,358000000.0,533000000.0,516000000.0,478000000.0,350000000.0,415000000.0
Dividends Paid,-1525000000.0,-1520000000.0,-1521000000.0,-1560000000.0,-1562000000.0,-1561000000.0,-1541000000.0,-1555000000.0,-1567000000.0,-1560000000.0
Change To Inventory,-59000000.0,-21000000.0,-124000000.0,-115000000.0,16000000.0,-275000000.0,-231000000.0,-177000000.0,-347000000.0,-108000000.0
Change To Account Receivables,-881000000.0,1526000000.0,-281000000.0,5000000.0,-1357000000.0,427000000.0,-735000000.0,174000000.0,-875000000.0,1119000000.0
Other Cashflows From Financing Activities,54000000.0,35000000.0,35000000.0,-31000000.0,-40000000.0,-3000000.0,-62000000.0,-165000000.0,108000000.0,-29000000.0
Change To Netincome,446000000.0,272000000.0,415000000.0,356000000.0,105000000.0,145000000.0,332000000.0,342000000.0,440000000.0,268000000.0
Capital Expenditures,-208000000.0,-171000000.0,-187000000.0,-172000000.0,-162000000.0,-122000000.0,-110000000.0,-106000000.0,-139000000.0,-176000000.0
Other Cashflows From Investing Activities,-4000000.0,-4000000.0,-4000000.0,-52000000.0,-11000000.0,-11000000.0,-11000000.0,-4000000.0,,-20000000.0
