,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Change To Liabilities,61800000.0,9400000.0,117600000.0,-181500000.0,62200000.0,104200000.0
Total Cashflows From Investing Activities,-543200000.0,-556900000.0,-1243700000.0,-541300000.0,-533300000.0,-614100000.0
Net Borrowings,90100000.0,195100000.0,1285100000.0,388800000.0,-63600000.0,69400000.0
Total Cash From Financing Activities,-149200000.0,-14400000.0,1008800000.0,163100000.0,-287600000.0,-156900000.0
Change To Operating Activities,-42400000.0,110900000.0,-130600000.0,-268800000.0,84600000.0,253800000.0
Issuance Of Stock,4300000.0,3000000.0,20500000.0,1200000.0,2800000.0,2500000.0
Net Income,241600000.0,266800000.0,239000000.0,510100000.0,276000000.0,290000000.0
Change In Cash,-3300000.0,-1200000.0,11400000.0,17000000.0,10100000.0,9500000.0
Repurchase Of Stock,-9900000.0,-6400000.0,-42500000.0,-6600000.0,-4700000.0,-4400000.0
Total Cash From Operating Activities,689100000.0,570100000.0,246300000.0,395200000.0,831000000.0,780500000.0
Depreciation,242500000.0,245000000.0,249300000.0,261400000.0,266200000.0,271600000.0
Other Cashflows From Investing Activities,3100000.0,23100000.0,-23600000.0,37400000.0,-3000000.0,3000000.0
Dividends Paid,-199500000.0,-199500000.0,-199500000.0,-213700000.0,-213800000.0,-213700000.0
Change To Inventory,-76600000.0,-105700000.0,44800000.0,175100000.0,-99200000.0,-193000000.0
Change To Account Receivables,218900000.0,46900000.0,-246200000.0,-150400000.0,220400000.0,92400000.0
Other Cashflows From Financing Activities,-34200000.0,-6600000.0,-54800000.0,-6600000.0,-8300000.0,-10700000.0
Change To Netincome,43300000.0,-3200000.0,-27600000.0,49300000.0,20800000.0,-38500000.0
Capital Expenditures,-541100000.0,-581500000.0,-620100000.0,-470600000.0,-539500000.0,-617800000.0
Investments,-6000000.0,-6200000.0,-6000000.0,,,
