Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-06-01-00-00-00,219.52999900000003,219.52999900000003,217.809998,218.17999300000002,218.17999300000002,3805700,,
2021-06-02-00-00-00,217.95,218.15,217.22,217.8,,3599400,0.0,0.0
2021-06-03-00-00-00,216.64,217.38,215.42,216.84,,2967000,0.0,0.0
2021-06-04-00-00-00,217.9,218.81,217.79,218.72,,2287100,0.0,0.0
2021-06-07-00-00-00,218.88,219.01,218.36,218.9,,2762800,0.0,0.0
2021-06-08-00-00-00,219.36,219.61,217.99,219.35,,2831700,0.0,0.0
2021-06-09-00-00-00,219.74,219.83,218.68,218.73,,2688600,0.0,0.0
2021-06-10-00-00-00,219.54,220.22,218.52,219.7,,2936700,0.0,0.0
2021-06-11-00-00-00,220.77999900000003,221.020004,220.13000499999998,221.020004,221.020004,2835800,,
2021-06-14-00-00-00,220.52,220.71,219.71,220.68,,3189400,0.0,0.0
2021-06-15-00-00-00,220.81,220.85,219.5,220.11,,3094000,0.0,0.0
2021-06-16-00-00-00,220.29,220.29,217.71,219.01,,3459600,0.0,0.0
2021-06-17-00-00-00,218.77,219.39,217.28,218.8,,3002900,0.0,0.0
2021-06-18-00-00-00,217.32,217.48,215.87,216.09,,4538300,0.0,0.0
2021-06-21-00-00-00,217.0,219.13,216.42,219.07,,3870000,0.0,0.0
2021-06-22-00-00-00,219.850006,221.350006,219.17999300000002,220.99000499999997,220.99000499999997,2683500,,
2021-06-23-00-00-00,221.100006,221.58999599999999,220.809998,220.899994,220.899994,2662200,,
2021-06-24-00-00-00,221.50999500000003,221.86999500000002,221.289993,221.72000099999997,221.72000099999997,2930600,,
2021-06-25-00-00-00,222.25999500000003,222.69999700000002,221.91000400000001,222.55000299999998,222.55000299999998,2800500,,
2021-06-28-00-00-00,222.99000499999997,222.99000499999997,221.86000099999998,222.80000299999998,222.80000299999998,3093100,,
2021-06-29-00-00-00,223.31,223.4,222.47,222.81,,4068000,0.0,0.0
2021-06-30-00-00-00,222.69,223.15,222.46,222.82,,3041700,0.0,0.0
