,2020-08-30,2019-09-01,2018-09-02,2017-09-03
Capital Surplus,6698000000.0,6417000000.0,6107000000.0,5800000000.0
Total Liab,36851000000.0,29816000000.0,27727000000.0,25268000000.0
Total Stockholder Equity,18284000000.0,15243000000.0,12799000000.0,10778000000.0
Minority Interest,421000000.0,341000000.0,304000000.0,301000000.0
Other Current Liab,5317000000.0,5452000000.0,4548000000.0,4137000000.0
Total Assets,55556000000.0,45400000000.0,40830000000.0,36347000000.0
Common Stock,4000000.0,4000000.0,4000000.0,4000000.0
Other Current Assets,1023000000.0,1111000000.0,321000000.0,272000000.0
Retained Earnings,12879000000.0,10258000000.0,7887000000.0,5988000000.0
Other Liab,1278000000.0,1085000000.0,1314000000.0,1200000000.0
Good Will,988000000.0,53000000.0,,
Treasury Stock,-1297000000.0,-1436000000.0,-1199000000.0,-1014000000.0
Other Assets,1261000000.0,972000000.0,860000000.0,869000000.0
Cash,12277000000.0,8384000000.0,6055000000.0,4546000000.0
Total Current Liabilities,24844000000.0,23237000000.0,19926000000.0,17495000000.0
Deferred Long Term Asset Charges,406000000.0,398000000.0,316000000.0,254000000.0
Short Long Term Debt,95000000.0,1699000000.0,90000000.0,86000000.0
Other Stockholder Equity,-1297000000.0,-1436000000.0,-1199000000.0,-1014000000.0
Property Plant Equipment,25187000000.0,20890000000.0,19681000000.0,18161000000.0
Total Current Assets,28120000000.0,23485000000.0,20289000000.0,17317000000.0
Net Tangible Assets,17296000000.0,15190000000.0,12799000000.0,10778000000.0
Short Term Investments,1028000000.0,1060000000.0,1204000000.0,1233000000.0
Net Receivables,1550000000.0,1535000000.0,1669000000.0,1432000000.0
Long Term Debt,7514000000.0,5124000000.0,6487000000.0,6573000000.0
Inventory,12242000000.0,11395000000.0,11040000000.0,9834000000.0
Accounts Payable,14172000000.0,11679000000.0,11237000000.0,9608000000.0
