,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Net Income,37331000.0,220971000.0,182644000.0,196681000.0,263590000.0,296736000.0,208453000.0,0.0
Change To Liabilities,-60829000.0,66586000.0,163224000.0,262000.0,-75530000.0,189547000.0,18506000.0,0.0
Total Cashflows From Investing Activities,-100641000.0,-124727000.0,-43324000.0,-96940000.0,-1065005000.0,-133929000.0,-997952000.0,
Net Borrowings,-385667000.0,-24770000.0,-81700000.0,520058000.0,604917000.0,595066000.0,660386000.0,
Total Cash From Financing Activities,-432609000.0,-84545000.0,-951507000.0,-369022000.0,277259000.0,-218426000.0,-95176000.0,
Change To Operating Activities,79374000.0,-124219000.0,-59694000.0,-11414000.0,-114627000.0,-31690000.0,22306000.0,
Issuance Of Stock,19376000.0,8423000.0,15087000.0,17705000.0,11599000.0,9266000.0,10975000.0,
Change In Cash,25564000.0,395197000.0,-131051000.0,112303000.0,-262350000.0,528890000.0,-345591000.0,
Repurchase Of Stock,-2740000.0,-2740000.0,-229263000.0,-842392000.0,-280206000.0,-795750000.0,-705930000.0,
Effect Of Exchange Rate,35099000.0,19998000.0,94390000.0,-21141000.0,15161000.0,-36724000.0,-5678000.0,
Total Cash From Operating Activities,523715000.0,584471000.0,769390000.0,599406000.0,510235000.0,917969000.0,753215000.0,
Depreciation,402675000.0,406899000.0,407048000.0,425573000.0,422043000.0,418562000.0,425206000.0,
Other Cashflows From Investing Activities,9840000.0,-613000.0,27748000.0,293000.0,449000.0,506000.0,9574000.0,
Dividends Paid,-58312000.0,-58434000.0,-58191000.0,-57574000.0,-57301000.0,-73328000.0,-71523000.0,
Change To Account Receivables,8562000.0,-32834000.0,32634000.0,-37141000.0,-54439000.0,-31790000.0,-42173000.0,
Other Cashflows From Financing Activities,-8006000.0,-7024000.0,-597440000.0,-6819000.0,-1750000.0,46320000.0,10916000.0,
Change To Netincome,37273000.0,27248000.0,23275000.0,4395000.0,46273000.0,52467000.0,95701000.0,
Capital Expenditures,-103582000.0,-121029000.0,-106823000.0,-86159000.0,-133420000.0,-131166000.0,-142471000.0,
