,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Intangible Assets,733000000.0,721000000.0,668000000.0,3054000000.0,2921000000.0,2915000000.0
Capital Surplus,8505000000.0,8511000000.0,8517000000.0,8513000000.0,8519000000.0,8525000000.0
Total Liab,10587000000.0,10291000000.0,13222000000.0,17724000000.0,19075000000.0,23887000000.0
Total Stockholder Equity,1750000000.0,1934000000.0,1680000000.0,1517000000.0,2544000000.0,4078000000.0
Other Current Liab,764000000.0,510000000.0,518000000.0,1688000000.0,3411000000.0,7794000000.0
Total Assets,12337000000.0,12225000000.0,14902000000.0,19241000000.0,21619000000.0,27965000000.0
Common Stock,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0
Other Current Assets,971000000.0,676000000.0,668000000.0,2242000000.0,4653000000.0,10498000000.0
Retained Earnings,-1331000000.0,-1157000000.0,-1403000000.0,-1565000000.0,-567000000.0,971000000.0
Other Liab,2162000000.0,2216000000.0,2338000000.0,2944000000.0,3160000000.0,3664000000.0
Good Will,579000000.0,579000000.0,579000000.0,1572000000.0,1793000000.0,1801000000.0
Treasury Stock,-5428000000.0,-5424000000.0,-5438000000.0,-5435000000.0,-5412000000.0,-5422000000.0
Other Assets,4615000000.0,4544000000.0,4433000000.0,5261000000.0,5786000000.0,6233000000.0
Cash,418000000.0,697000000.0,3905000000.0,501000000.0,361000000.0,259000000.0
Total Current Liabilities,2157000000.0,1986000000.0,1915000000.0,5795000000.0,6931000000.0,12009000000.0
Deferred Long Term Asset Charges,3170000000.0,3087000000.0,3066000000.0,2719000000.0,2499000000.0,1994000000.0
Short Long Term Debt,7000000.0,3000000.0,,825000000.0,75000000.0,504000000.0
Other Stockholder Equity,-194000000.0,-190000000.0,-206000000.0,-203000000.0,-182000000.0,-192000000.0
Property Plant Equipment,2962000000.0,2918000000.0,2848000000.0,2640000000.0,2323000000.0,2269000000.0
Total Current Assets,3076000000.0,3087000000.0,6028000000.0,6552000000.0,8624000000.0,14572000000.0
Long Term Investments,372000000.0,376000000.0,346000000.0,162000000.0,172000000.0,175000000.0
Net Tangible Assets,438000000.0,634000000.0,433000000.0,-3109000000.0,-2170000000.0,-638000000.0
Net Receivables,1015000000.0,1126000000.0,871000000.0,3037000000.0,2822000000.0,2960000000.0
Long Term Debt,5810000000.0,5792000000.0,8688000000.0,8695000000.0,8702000000.0,7944000000.0
Inventory,388000000.0,330000000.0,327000000.0,316000000.0,365000000.0,445000000.0
Accounts Payable,736000000.0,753000000.0,649000000.0,2216000000.0,2166000000.0,1967000000.0
