,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Investments,-5010000.0,-5010000.0,-5010000.0,-25000000.0,-20000000.0,-523490000.0,-362897000.0,76735000.0,56237000.0,-329053000.0
Change To Liabilities,-7634000.0,32451000.0,58906000.0,55816000.0,38983000.0,41296000.0,59255000.0,20256000.0,28066000.0,57824000.0
Total Cashflows From Investing Activities,-4451000.0,-3903000.0,-13861000.0,-90179000.0,-36428000.0,-536422000.0,-556518000.0,39735000.0,44491000.0,-338001000.0
Total Cash From Financing Activities,-7594000.0,-9164000.0,-53635000.0,824671000.0,-205757000.0,-3271000.0,-306232000.0,-8940000.0,-1280000.0,-3896000.0
Change To Operating Activities,-4119000.0,4955000.0,-2051000.0,3600000.0,-4769000.0,4006000.0,-2706000.0,6864000.0,-5338000.0,9855000.0
Issuance Of Stock,2867000.0,3687000.0,3687000.0,214000.0,3428000.0,42000.0,3800000.0,404000.0,4183000.0,693000.0
Net Income,-47294000.0,39362000.0,72991000.0,31698000.0,39351000.0,21809000.0,52591000.0,51821000.0,76976000.0,114812000.0
Change In Cash,13410000.0,54538000.0,17587000.0,809631000.0,-176749000.0,-426715000.0,-766230000.0,132534000.0,243623000.0,-157890000.0
Repurchase Of Stock,-9385000.0,-8528000.0,-16288000.0,-9185000.0,-207813000.0,-3313000.0,-308825000.0,-9344000.0,-5463000.0,-4589000.0
Effect Of Exchange Rate,24000.0,104000.0,903000.0,-702000.0,-224000.0,-376000.0,-653000.0,-704000.0,-238000.0,-4003000.0
Total Cash From Operating Activities,25431000.0,67501000.0,84180000.0,75841000.0,65660000.0,113354000.0,97173000.0,102443000.0,200650000.0,188010000.0
Depreciation,4687000.0,3128000.0,4807000.0,4759000.0,6705000.0,7417000.0,9877000.0,13692000.0,13237000.0,9949000.0
Change To Inventory,3430000.0,-6349000.0,-4229000.0,6888000.0,-2880000.0,-27648000.0,-5618000.0,-22036000.0,-33830000.0,-16185000.0
Change To Account Receivables,6529000.0,-32633000.0,-57854000.0,-53719000.0,-44812000.0,5462000.0,-58091000.0,-24224000.0,51770000.0,-46226000.0
Change To Netincome,70378000.0,24950000.0,11064000.0,26000000.0,32191000.0,60116000.0,-3617000.0,54204000.0,67759000.0,55969000.0
Capital Expenditures,-4451000.0,-3903000.0,-8851000.0,-9940000.0,-16428000.0,-12682000.0,-13208000.0,-12375000.0,-8691000.0,-8948000.0
Net Borrowings,-1076000.0,-636000.0,-41034000.0,899077000.0,-1372000.0,-1207000.0,-1207000.0,,,
Other Cashflows From Financing Activities,-65435000.0,-65435000.0,-65435000.0,-65435000.0,,,,,,
