,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Intangible Assets,28086000.0,26839000.0,33608000.0,47917000.0,45409000.0,43146000.0,110358000.0
Capital Surplus,534867000.0,540738000.0,534744000.0,751688000.0,762611000.0,806294000.0,837924000.0
Total Liab,627751000.0,676134000.0,716109000.0,1461358000.0,1516257000.0,1582349000.0,1649088000.0
Total Stockholder Equity,370176000.0,416206000.0,483993000.0,732841000.0,584399000.0,647815000.0,430168000.0
Other Current Liab,50426000.0,52498000.0,64425000.0,71924000.0,88107000.0,98853000.0,109030000.0
Total Assets,997927000.0,1092340000.0,1200102000.0,2194199000.0,2100656000.0,2230164000.0,2079256000.0
Common Stock,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
Retained Earnings,-163539000.0,-124177000.0,-51186000.0,-19488000.0,-180137000.0,-158328000.0,-405737000.0
Other Liab,140852000.0,150746000.0,161959000.0,185113000.0,217734000.0,236158000.0,245778000.0
Good Will,24783000.0,24783000.0,24783000.0,61038000.0,61321000.0,61038000.0,181254000.0
Treasury Stock,-1153000.0,-356000.0,434000.0,640000.0,1924000.0,-152000.0,-2020000.0
Other Assets,143423000.0,140810000.0,147779000.0,197109000.0,201734000.0,208116000.0,200154000.0
Cash,607254000.0,661792000.0,679379000.0,1489010000.0,1312261000.0,885546000.0,119316000.0
Total Current Liabilities,223523000.0,256519000.0,534043000.0,344473000.0,356593000.0,393455000.0,439796000.0
Deferred Long Term Asset Charges,93872000.0,88812000.0,92904000.0,132231000.0,130571000.0,133158000.0,122470000.0
Short Long Term Debt,102271000.0,103670000.0,325967000.0,84356000.0,85125000.0,86039000.0,86052000.0
Other Stockholder Equity,-1153000.0,-356000.0,434000.0,640000.0,1924000.0,-152000.0,-2020000.0
Property Plant Equipment,44434000.0,49674000.0,55868000.0,70336000.0,78904000.0,88630000.0,83987000.0
Total Current Assets,757201000.0,850234000.0,933064000.0,1791362000.0,1665919000.0,1768081000.0,1462461000.0
Long Term Investments,,,5000000.0,26437000.0,47369000.0,61153000.0,41042000.0
Net Tangible Assets,317307000.0,364584000.0,425602000.0,623886000.0,477669000.0,543631000.0,138556000.0
Short Term Investments,,,,,,508577000.0,897335000.0
Net Receivables,105920000.0,139359000.0,200044000.0,255428000.0,302289000.0,295473000.0,359234000.0
Long Term Debt,253174000.0,256452000.0,4898000.0,917873000.0,929015000.0,940244000.0,951594000.0
Inventory,31186000.0,37535000.0,41764000.0,34876000.0,37756000.0,65405000.0,74400000.0
Accounts Payable,24135000.0,48148000.0,72609000.0,81524000.0,82141000.0,92213000.0,113767000.0
