,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Intangible Assets,12650000000.0,12633000000.0,12615000000.0,12598000000.0,12580000000.0,12326000000.0,12306000000.0
Capital Surplus,5964000000.0,5973000000.0,5910000000.0,5905000000.0,5840000000.0,5846000000.0,5857000000.0
Total Liab,44376000000.0,43380000000.0,44449000000.0,45741000000.0,41088000000.0,40790000000.0,41129000000.0
Total Stockholder Equity,5688000000.0,3139000000.0,2839000000.0,2913000000.0,3257000000.0,-1267000000.0,-1606000000.0
Other Current Liab,4913000000.0,5106000000.0,5563000000.0,6427000000.0,3912000000.0,5309000000.0,5374000000.0
Total Assets,50200000000.0,46651000000.0,47414000000.0,48776000000.0,44388000000.0,39564000000.0,39523000000.0
Common Stock,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0
Other Current Assets,124000000.0,263000000.0,69000000.0,147000000.0,381000000.0,1894000000.0,298000000.0
Retained Earnings,36908000000.0,34356000000.0,34679000000.0,34507000000.0,35065000000.0,30685000000.0,30664000000.0
Other Liab,7434000000.0,7335000000.0,7415000000.0,7557000000.0,7064000000.0,5656000000.0,5611000000.0
Good Will,5177000000.0,5177000000.0,5177000000.0,5177000000.0,5177000000.0,5177000000.0,5177000000.0
Treasury Stock,-38119000000.0,-38125000000.0,-38685000000.0,-38434000000.0,-38583000000.0,-38733000000.0,-39062000000.0
Other Assets,1048000000.0,1025000000.0,964000000.0,857000000.0,683000000.0,649000000.0,923000000.0
Cash,4826000000.0,4123000000.0,4945000000.0,5792000000.0,1877000000.0,2957000000.0,4544000000.0
Total Current Liabilities,9400000000.0,8290000000.0,9063000000.0,10004000000.0,5783000000.0,8112000000.0,8579000000.0
Short Long Term Debt,1500000000.0,1500000000.0,1500000000.0,1500000000.0,,1105000000.0,1105000000.0
Other Stockholder Equity,-3774000000.0,-3781000000.0,-4341000000.0,-3774000000.0,-3602000000.0,-3430000000.0,-3056000000.0
Property Plant Equipment,2002000000.0,2009000000.0,2012000000.0,1982000000.0,1933000000.0,1518000000.0,1553000000.0
Total Current Assets,7004000000.0,6399000000.0,7117000000.0,8029000000.0,4184000000.0,6020000000.0,6083000000.0
Long Term Investments,22319000000.0,19408000000.0,19529000000.0,20133000000.0,19831000000.0,13874000000.0,13481000000.0
Net Tangible Assets,-12139000000.0,-14671000000.0,-14953000000.0,-14862000000.0,-14500000000.0,-18770000000.0,-19089000000.0
Net Receivables,140000000.0,151000000.0,137000000.0,142000000.0,132000000.0,36000000.0,47000000.0
Long Term Debt,27542000000.0,27755000000.0,27971000000.0,28180000000.0,28241000000.0,27022000000.0,26939000000.0
Inventory,1914000000.0,1862000000.0,1966000000.0,1948000000.0,1794000000.0,1133000000.0,1194000000.0
Accounts Payable,273000000.0,348000000.0,380000000.0,271000000.0,260000000.0,266000000.0,449000000.0
Minority Interest,136000000.0,132000000.0,126000000.0,122000000.0,43000000.0,41000000.0,
