,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,3935400000.0,3889600000.0,3869200000.0,3927200000.0,3876000000.0,3779800000.0,3705000000.0,3632000000.0,3531000000.0
Capital Surplus,7871700000.0,7882300000.0,7880600000.0,7883900000.0,7896700000.0,7905600000.0,7916000000.0,7917000000.0,7926000000.0
Total Liab,8584800000.0,8392000000.0,8301800000.0,8366100000.0,8184600000.0,8160700000.0,8215000000.0,8350000000.0,8386000000.0
Total Stockholder Equity,9845600000.0,10016900000.0,10122300000.0,10144100000.0,10294400000.0,10156600000.0,10201000000.0,10049000000.0,9905000000.0
Minority Interest,35000000.0,35500000.0,30400000.0,33000000.0,33400000.0,34600000.0,38000000.0,39000000.0,42000000.0
Other Current Liab,1093000000.0,1125200000.0,1121700000.0,1126500000.0,1095200000.0,1044800000.0,1074000000.0,1067000000.0,1064000000.0
Total Assets,18465400000.0,18444400000.0,18454500000.0,18543200000.0,18512400000.0,18351900000.0,18454000000.0,18438000000.0,18333000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Other Current Assets,172000000.0,163700000.0,226500000.0,221000000.0,240900000.0,276100000.0,193000000.0,213000000.0,205000000.0
Retained Earnings,3419000000.0,3524200000.0,3588900000.0,3678300000.0,3780100000.0,3887800000.0,4055000000.0,4176000000.0,4314000000.0
Other Liab,1108000000.0,1122100000.0,1044100000.0,1014700000.0,987700000.0,963900000.0,991000000.0,984000000.0,938000000.0
Good Will,8309900000.0,8366100000.0,8485200000.0,8625700000.0,8653200000.0,8604700000.0,8587000000.0,8567000000.0,8459000000.0
Treasury Stock,-1447100000.0,-1391600000.0,-1349200000.0,-1420100000.0,-1384400000.0,-1638800000.0,-1772000000.0,-2046000000.0,-2337000000.0
Other Assets,638000000.0,648800000.0,518700000.0,635800000.0,630700000.0,698300000.0,737000000.0,860000000.0,869000000.0
Cash,587900000.0,559300000.0,598700000.0,483500000.0,453500000.0,427400000.0,473000000.0,488000000.0,501000000.0
Total Current Liabilities,3483200000.0,3228600000.0,3226300000.0,3168900000.0,2844700000.0,2811600000.0,2910000000.0,2880000000.0,3190000000.0
Short Long Term Debt,697100000.0,454800000.0,447200000.0,353900000.0,600000.0,3800000.0,2000000.0,14000000.0,226000000.0
Other Stockholder Equity,-537800000.0,-482200000.0,-339100000.0,-409000000.0,-375800000.0,-432600000.0,-466000000.0,-449000000.0,-641000000.0
Property Plant Equipment,1612400000.0,1603700000.0,1601600000.0,1575500000.0,1544300000.0,1509000000.0,1497000000.0,1468000000.0,1428000000.0
Total Current Assets,3969700000.0,3936200000.0,3879800000.0,3779000000.0,3808200000.0,3760100000.0,3832000000.0,3911000000.0,4046000000.0
Net Tangible Assets,-2399700000.0,-2238800000.0,-2232100000.0,-2408800000.0,-2234800000.0,-2227900000.0,-2091000000.0,-2150000000.0,-2085000000.0
Net Receivables,1410300000.0,1433500000.0,1412500000.0,1403000000.0,1452600000.0,1367000000.0,1477000000.0,1382000000.0,1422000000.0
Long Term Debt,3768700000.0,3799900000.0,3792200000.0,3923300000.0,4079600000.0,4067200000.0,4056000000.0,4225000000.0,3987000000.0
Inventory,1799500000.0,1779700000.0,1642100000.0,1671500000.0,1661200000.0,1689600000.0,1689000000.0,1828000000.0,1918000000.0
Accounts Payable,1006000000.0,962000000.0,909400000.0,955000000.0,994700000.0,947300000.0,1012000000.0,1058000000.0,1178000000.0
Long Term Investments,,,100000000.0,,,,96000000.0,,
