,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Change To Liabilities,47693000.0,76133000.0,55788000.0,26810000.0
Total Cashflows From Investing Activities,-94665000.0,-312231000.0,-833548000.0,-614253000.0
Net Borrowings,500000000.0,500000000.0,500000000.0,300000000.0
Total Cash From Financing Activities,-294651000.0,-262675000.0,429409000.0,96597000.0
Change To Operating Activities,14273000.0,-48064000.0,-39679000.0,-2328000.0
Issuance Of Stock,52503000.0,41019000.0,34093000.0,29560000.0
Net Income,259251000.0,419375000.0,451295000.0,433887000.0
Change In Cash,59022000.0,-104362000.0,94955000.0,40578000.0
Repurchase Of Stock,-347154000.0,-298680000.0,-101547000.0,-232048000.0
Effect Of Exchange Rate,20678000.0,-14444000.0,-842000.0,10924000.0
Total Cash From Operating Activities,427660000.0,484988000.0,499936000.0,547310000.0
Depreciation,67678000.0,59255000.0,78975000.0,106246000.0
Other Cashflows From Investing Activities,-11631000.0,-7443000.0,-1412000.0,-6555000.0
Change To Account Receivables,-14406000.0,-74455000.0,-154403000.0,-160319000.0
Other Cashflows From Financing Activities,-5014000.0,-5014000.0,-3137000.0,-915000.0
Change To Netincome,51956000.0,51658000.0,107385000.0,123301000.0
Capital Expenditures,-19149000.0,-21762000.0,-44940000.0,-35370000.0
