,2020-08-31,2020-11-30,2021-02-28,2021-05-31,2021-08-31,2021-11-30,2022-02-28
Intangible Assets,3405000000.0,3061000000.0,2754000000.0,2430000000.0,2181000000.0,1881000000.0,1688000000.0
Total Liab,103406000000.0,101398000000.0,108472000000.0,125155000000.0,124054000000.0,116555000000.0,116855000000.0
Total Stockholder Equity,9491000000.0,7917000000.0,8900000000.0,5238000000.0,-1541000000.0,-10101000000.0,-8696000000.0
Minority Interest,649000000.0,699000000.0,737000000.0,714000000.0,411000000.0,443000000.0,485000000.0
Other Current Liab,13684000000.0,11815000000.0,11996000000.0,12488000000.0,14104000000.0,11346000000.0,11835000000.0
Total Assets,113546000000.0,110014000000.0,118109000000.0,131107000000.0,122924000000.0,106897000000.0,108644000000.0
Common Stock,26238000000.0,26298000000.0,26261000000.0,26533000000.0,25534000000.0,25591000000.0,26129000000.0
Retained Earnings,-15410000000.0,-17095000000.0,-16206000000.0,-20120000000.0,-25679000000.0,-34076000000.0,-33147000000.0
Other Liab,16889000000.0,16520000000.0,24681000000.0,22878000000.0,25013000000.0,24241000000.0,23857000000.0
Good Will,43867000000.0,43877000000.0,43954000000.0,43935000000.0,43862000000.0,43842000000.0,43833000000.0
Treasury Stock,-1337000000.0,-1286000000.0,-1155000000.0,-1175000000.0,-1396000000.0,-1616000000.0,-1678000000.0
Other Assets,9879000000.0,10143000000.0,20780000000.0,19456000000.0,22154000000.0,22067000000.0,22839000000.0
Cash,27276000000.0,28001000000.0,22321000000.0,30098000000.0,23059000000.0,17938000000.0,22682000000.0
Total Current Liabilities,18748000000.0,21347000000.0,20250000000.0,24164000000.0,23071000000.0,18881000000.0,20833000000.0
Deferred Long Term Asset Charges,3152000000.0,3401000000.0,13725000000.0,13636000000.0,13391000000.0,13265000000.0,13109000000.0
Short Long Term Debt,3140000000.0,7388000000.0,5758000000.0,8250000000.0,6748000000.0,4998000000.0,6248000000.0
Other Stockholder Equity,-1337000000.0,-1286000000.0,-1155000000.0,-1175000000.0,-1396000000.0,-1616000000.0,-1678000000.0
Property Plant Equipment,6401000000.0,6627000000.0,6816000000.0,9649000000.0,7610000000.0,8029000000.0,8609000000.0
Total Current Assets,49939000000.0,46251000000.0,43744000000.0,55567000000.0,47117000000.0,31078000000.0,31675000000.0
Net Tangible Assets,-37781000000.0,-39021000000.0,-37808000000.0,-41127000000.0,-47584000000.0,-55824000000.0,-54217000000.0
Short Term Investments,15003000000.0,10592000000.0,13543000000.0,16456000000.0,16251000000.0,4900000000.0,707000000.0
Net Receivables,4576000000.0,4423000000.0,4637000000.0,6207000000.0,4482000000.0,4462000000.0,4588000000.0
Long Term Debt,67769000000.0,63531000000.0,63541000000.0,75995000000.0,75970000000.0,73433000000.0,72165000000.0
Accounts Payable,534000000.0,724000000.0,812000000.0,745000000.0,749000000.0,1034000000.0,1124000000.0
Long Term Investments,55000000.0,55000000.0,61000000.0,70000000.0,,,
Inventory,,,,142000000.0,,,
