,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26,2022-06-25
Intangible Assets,527875000.0,510395000.0,527079000.0,597619000.0,604515000.0,645832000.0,732975000.0,,603000000.0
Total Liab,3417355000.0,3722928000.0,3460448000.0,3330291000.0,3513304000.0,3702556000.0,3804587000.0,,3511000000.0
Total Stockholder Equity,2991087000.0,3155273000.0,3348172000.0,3358168000.0,3360266000.0,3457989000.0,3425126000.0,,3594000000.0
Minority Interest,909683000.0,931694000.0,963912000.0,1091461000.0,1250496000.0,1260207000.0,1251378000.0,,1219000000.0
Other Current Liab,283994000.0,211759000.0,210171000.0,227789000.0,230717000.0,159851000.0,230439000.0,268000000.0,212000000.0
Total Assets,7318125000.0,7809895000.0,7772532000.0,7779920000.0,8124066000.0,8420752000.0,8481091000.0,,8324000000.0
Common Stock,1424000.0,1425000.0,1425000.0,1413000.0,1398000.0,1391000.0,1371000.0,,1000000.0
Retained Earnings,3172439000.0,3314136000.0,3454831000.0,3493060000.0,3465647000.0,3594238000.0,3595233000.0,,3834000000.0
Other Liab,430970000.0,403153000.0,422846000.0,452438000.0,469944000.0,425459000.0,418955000.0,,390000000.0
Good Will,2471108000.0,2488962000.0,2504392000.0,2587438000.0,2722974000.0,2779234000.0,2854150000.0,,2833000000.0
Treasury Stock,-199251000.0,-171332000.0,-108084000.0,-136305000.0,-106779000.0,-137640000.0,-171478000.0,,-241000000.0
Cash,296110000.0,533495000.0,421185000.0,144538000.0,167228000.0,119133000.0,117965000.0,,108000000.0
Total Current Liabilities,2307241000.0,2603807000.0,2283102000.0,2122768000.0,2093641000.0,2301405000.0,2306514000.0,,2076000000.0
Short Long Term Debt,107395000.0,107667000.0,107416000.0,108920000.0,7419000.0,7419000.0,7424000.0,,4000000.0
Other Stockholder Equity,-199251000.0,-171332000.0,-108084000.0,-136305000.0,-106779000.0,-137640000.0,-171478000.0,,-241000000.0
Property Plant Equipment,547371000.0,584849000.0,630851000.0,655007000.0,659664000.0,685561000.0,691406000.0,,683000000.0
Total Current Assets,3409206000.0,3869250000.0,3791415000.0,3570625000.0,3742248000.0,3912361000.0,3844035000.0,,3789000000.0
Long Term Investments,362565000.0,356439000.0,169382000.0,369231000.0,394665000.0,397764000.0,168118000.0,,416000000.0
Net Tangible Assets,-7896000.0,155916000.0,316701000.0,173111000.0,32777000.0,32923000.0,-161999000.0,,158000000.0
Net Receivables,1101201000.0,1407676000.0,1424787000.0,1317546000.0,1356881000.0,1551946000.0,1451829000.0,,1409000000.0
Long Term Debt,512076000.0,511593000.0,512232000.0,503404000.0,703206000.0,702580000.0,807386000.0,766000000.0,762000000.0
Inventory,1406719000.0,1463434000.0,1512499000.0,1626185000.0,1688210000.0,1784050000.0,1861138000.0,,1823000000.0
Accounts Payable,734957000.0,1006958000.0,1005655000.0,909575000.0,903859000.0,1057127000.0,1053934000.0,,901000000.0
Other Assets,,,149413000.0,,,,190407000.0,,
Deferred Long Term Asset Charges,,,42594000.0,,,,34607000.0,,
Capital Surplus,16475000.0,11044000.0,,,,,,,
