,2020-05-31,2020-08-31,2020-11-30,2021-02-28,2021-05-31,2021-08-31,2021-11-30,2022-02-28
Intangible Assets,2833900000.0,2843000000.0,3355400000.0,3500900000.0,3494500000.0,3478300000.0,3593600000.0,3443700000.0
Total Liab,6913800000.0,6914700000.0,8149700000.0,8520400000.0,8469700000.0,8481300000.0,8480300000.0,8326600000.0
Total Stockholder Equity,3649900000.0,3932700000.0,3926100000.0,4149500000.0,4325300000.0,4386500000.0,4411000000.0,4597700000.0
Minority Interest,12400000.0,13300000.0,13900000.0,15200000.0,15500000.0,16600000.0,14500000.0,16500000.0
Total Assets,10576100000.0,10860700000.0,12089700000.0,12685100000.0,12810500000.0,12884400000.0,12905800000.0,12940800000.0
Common Stock,1938900000.0,1971600000.0,1981300000.0,1998400000.0,2027100000.0,2042100000.0,2055100000.0,2091300000.0
Retained Earnings,2288700000.0,2391000000.0,2415600000.0,2573600000.0,2660500000.0,2780000000.0,2782400000.0,2922400000.0
Other Liab,1109900000.0,1113000000.0,1245900000.0,1336200000.0,1327500000.0,1335000000.0,1177100000.0,1285400000.0
Good Will,4484400000.0,4574400000.0,4986300000.0,5397000000.0,5428800000.0,5379500000.0,5335800000.0,5333400000.0
Treasury Stock,-577700000.0,-429900000.0,-470800000.0,-422500000.0,-362300000.0,-435600000.0,-426500000.0,-416000000.0
Cash,185000000.0,221000000.0,423600000.0,256100000.0,291800000.0,312600000.0,351700000.0,338400000.0
Total Current Liabilities,1582300000.0,1953500000.0,3046500000.0,2423700000.0,2381200000.0,3161300000.0,3223800000.0,3076700000.0
Other Stockholder Equity,-577700000.0,-429900000.0,-470800000.0,-422500000.0,-362300000.0,-435600000.0,-426500000.0,-416000000.0
Property Plant Equipment,1053700000.0,1082200000.0,1165200000.0,1070800000.0,1112800000.0,1113500000.0,1277100000.0,1135900000.0
Total Current Assets,1615700000.0,1759600000.0,2083600000.0,1954700000.0,2052600000.0,2160900000.0,2195800000.0,2239000000.0
Long Term Investments,,,322900000.0,,,,301300000.0,788800000.0
Net Tangible Assets,-3668400000.0,-3484700000.0,-4415600000.0,-4748400000.0,-4598000000.0,-4471300000.0,-4518400000.0,-4179400000.0
Net Receivables,494300000.0,496500000.0,528500000.0,515900000.0,500400000.0,541000000.0,549500000.0,516700000.0
Long Term Debt,3996400000.0,3629500000.0,3630000000.0,4760500000.0,4761000000.0,3985000000.0,3855100000.0,3964500000.0
Inventory,831300000.0,942100000.0,1032600000.0,1073400000.0,1147800000.0,1202400000.0,1182300000.0,1244200000.0
Accounts Payable,857200000.0,902800000.0,1032300000.0,967400000.0,1040500000.0,1023100000.0,1064200000.0,1072600000.0
Other Current Liab,2600000.0,21300000.0,117700000.0,13200000.0,9000000.0,18800000.0,109800000.0,
Other Current Assets,10300000.0,18100000.0,60900000.0,2700000.0,2900000.0,6200000.0,70600000.0,
Other Assets,588400000.0,601500000.0,176300000.0,761700000.0,721800000.0,752200000.0,202200000.0,
Short Long Term Debt,81700000.0,256400000.0,256800000.0,265900000.0,267800000.0,768500000.0,762800000.0,
