,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Intangible Assets,31200000.0,30600000.0,30500000.0,28700000.0,27800000.0,26100000.0,23000000.0,21800000.0
Capital Surplus,263100000.0,268200000.0,267300000.0,246700000.0,248000000.0,251200000.0,249000000.0,219900000.0
Total Liab,786000000.0,863900000.0,939300000.0,910700000.0,900900000.0,940300000.0,978400000.0,968500000.0
Total Stockholder Equity,1606300000.0,1718900000.0,1854500000.0,1829000000.0,2032600000.0,2202300000.0,2335400000.0,2326200000.0
Other Current Liab,128900000.0,156900000.0,128800000.0,194500000.0,165800000.0,182200000.0,122300000.0,202700000.0
Total Assets,2392300000.0,2582800000.0,2793800000.0,2739700000.0,2933500000.0,3142600000.0,3313800000.0,3294700000.0
Common Stock,18800000.0,18800000.0,18800000.0,18800000.0,18800000.0,18800000.0,18800000.0,18800000.0
Other Current Assets,49300000.0,51000000.0,51600000.0,67400000.0,75100000.0,80100000.0,112000000.0,107600000.0
Retained Earnings,1703000000.0,1773400000.0,1846700000.0,1985400000.0,2160200000.0,2335800000.0,2456700000.0,2617300000.0
Other Liab,93800000.0,98900000.0,117000000.0,118200000.0,120500000.0,118400000.0,112500000.0,106500000.0
Good Will,107600000.0,109300000.0,111100000.0,109500000.0,110000000.0,108900000.0,109900000.0,108800000.0
Treasury Stock,-378600000.0,-341500000.0,-278300000.0,-421900000.0,-394400000.0,-403500000.0,-389100000.0,-529800000.0
Other Assets,35000000.0,44100000.0,52300000.0,67300000.0,71100000.0,128600000.0,104400000.0,124000000.0
Cash,445900000.0,519400000.0,615500000.0,483700000.0,576200000.0,688000000.0,762600000.0,667700000.0
Total Current Liabilities,375200000.0,447700000.0,503400000.0,482800000.0,472600000.0,558600000.0,594100000.0,584800000.0
Deferred Long Term Asset Charges,13700000.0,22300000.0,16000000.0,27900000.0,28800000.0,80000000.0,48500000.0,66400000.0
Short Long Term Debt,2300000.0,2300000.0,2300000.0,2300000.0,2300000.0,44200000.0,44200000.0,44200000.0
Other Stockholder Equity,-187800000.0,-159500000.0,-110600000.0,-140200000.0,-133200000.0,-155700000.0,-159600000.0,-182400000.0
Property Plant Equipment,908300000.0,950900000.0,1011500000.0,995300000.0,1035900000.0,1065000000.0,1126800000.0,1141500000.0
Total Current Assets,1110600000.0,1238300000.0,1373700000.0,1327000000.0,1477000000.0,1598300000.0,1742000000.0,1690500000.0
Long Term Investments,199600000.0,209600000.0,214700000.0,211900000.0,211700000.0,215700000.0,207700000.0,208100000.0
Net Tangible Assets,1467500000.0,1579000000.0,1712900000.0,1690800000.0,1894800000.0,2067300000.0,2202500000.0,2195600000.0
Net Receivables,340600000.0,373000000.0,385300000.0,465700000.0,480500000.0,476400000.0,489000000.0,498700000.0
Long Term Debt,256100000.0,257400000.0,258500000.0,252300000.0,251800000.0,209900000.0,208800000.0,208300000.0
Inventory,274800000.0,294900000.0,321300000.0,310200000.0,345200000.0,353800000.0,378400000.0,416500000.0
Accounts Payable,162300000.0,180300000.0,213100000.0,204300000.0,205100000.0,207700000.0,232200000.0,248200000.0
Deferred Long Term Liab,,,400000.0,,,,100000.0,
