,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Change To Liabilities,0.0,0.0,36600000.0,0.0,0.0,0.0,16800000.0
Total Cashflows From Investing Activities,-40900000.0,-49100000.0,-57600000.0,-54500000.0,-55900000.0,-65300000.0,-77400000.0
Net Borrowings,-500000.0,-600000.0,-600000.0,-600000.0,-500000.0,-1100000.0,-1100000.0
Total Cash From Financing Activities,-900000.0,-7200000.0,-8700000.0,-156400000.0,300000.0,-5800000.0,-6200000.0
Change To Operating Activities,18300000.0,1900000.0,98800000.0,-94900000.0,-73600000.0,-20000000.0,187900000.0
Issuance Of Stock,11400000.0,5300000.0,4500000.0,7600000.0,14100000.0,7100000.0,8300000.0
Net Income,91200000.0,82300000.0,98400000.0,151200000.0,187300000.0,175600000.0,147700000.0
Change In Cash,110600000.0,73500000.0,96100000.0,-131800000.0,92500000.0,111800000.0,74600000.0
Repurchase Of Stock,-150800000.0,-150800000.0,-150800000.0,-150800000.0,-700000.0,-300000.0,-100000.0
Effect Of Exchange Rate,4300000.0,11200000.0,13700000.0,-9600000.0,3700000.0,-7200000.0,-2600000.0
Total Cash From Operating Activities,148100000.0,118600000.0,148700000.0,88700000.0,144400000.0,190100000.0,160800000.0
Depreciation,26200000.0,28400000.0,28500000.0,29100000.0,28800000.0,30000000.0,34400000.0
Other Cashflows From Investing Activities,-1600000.0,-1600000.0,-3700000.0,200000.0,1000000.0,1300000.0,1300000.0
Dividends Paid,-11800000.0,-11900000.0,-12600000.0,-12600000.0,-12600000.0,-12600000.0,-13300000.0
Change To Inventory,-73700000.0,-73700000.0,-73700000.0,-86500000.0,-86500000.0,-86500000.0,-86500000.0
Change To Account Receivables,-46600000.0,-46600000.0,-46600000.0,-123500000.0,-123500000.0,-123500000.0,-123500000.0
Change To Netincome,12400000.0,6000000.0,6700000.0,3300000.0,1900000.0,4500000.0,-16000000.0
Capital Expenditures,-37100000.0,-47500000.0,-57700000.0,-54700000.0,-56900000.0,-65300000.0,-76500000.0
