,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-30693000.0,-9808000.0,-24341000.0,-17724000.0,41065000.0,15538000.0,15120000.0
Change To Liabilities,52760000.0,15851000.0,27694000.0,-44361000.0,7758000.0,1829000.0,34701000.0
Total Cashflows From Investing Activities,-39272000.0,-13884000.0,-30157000.0,-39694000.0,-1958998000.0,-86096000.0,-6147000.0
Net Borrowings,600000000.0,600000000.0,600000000.0,600000000.0,965000000.0,-122500000.0,-87500000.0
Total Cash From Financing Activities,48809000.0,11425000.0,26334000.0,615120000.0,945366000.0,-101936000.0,-33820000.0
Change To Operating Activities,-7242000.0,26203000.0,-5805000.0,-19865000.0,-25125000.0,33698000.0,-46332000.0
Issuance Of Stock,48809000.0,11427000.0,26334000.0,21140000.0,14448000.0,20602000.0,53682000.0
Net Income,53892000.0,39284000.0,54094000.0,36976000.0,25530000.0,44170000.0,54782000.0
Change In Cash,49351000.0,167349000.0,84938000.0,647129000.0,-1033979000.0,17355000.0,75043000.0
Repurchase Of Stock,-2000.0,-2000.0,-12975000.0,-12975000.0,-12975000.0,-2000.0,-2000.0
Total Cash From Operating Activities,39814000.0,169808000.0,88761000.0,71703000.0,-20347000.0,205387000.0,115010000.0
Depreciation,12279000.0,12511000.0,11747000.0,13136000.0,28053000.0,23992000.0,22542000.0
Other Cashflows From Investing Activities,-280000.0,341000.0,301000.0,119000.0,-80000.0,424000.0,-79000.0
Change To Account Receivables,-87314000.0,39726000.0,-20127000.0,49317000.0,-95629000.0,48715000.0,15205000.0
Change To Netincome,18711000.0,21085000.0,12841000.0,24003000.0,24500000.0,23192000.0,32807000.0
Capital Expenditures,-6919000.0,-2796000.0,-3626000.0,-6564000.0,-7659000.0,-6547000.0,-13149000.0
Other Cashflows From Financing Activities,-6020000.0,-6020000.0,-6020000.0,-6020000.0,-21107000.0,-38000.0,
