,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-30993000.0,-34420000.0,16054000.0,-68876000.0,53999000.0
Change To Liabilities,9517000.0,41187000.0,51845000.0,47717000.0,-73000.0
Total Cashflows From Investing Activities,-85395000.0,-238255000.0,-245015000.0,-98320000.0,-2090935000.0
Net Borrowings,-10000000.0,1355000000.0,1355000000.0,1355000000.0,1355000000.0
Total Cash From Financing Activities,39415000.0,-63595000.0,88698000.0,114172000.0,1424730000.0
Change To Operating Activities,-908000.0,-3033000.0,-13573000.0,-11983000.0,-57624000.0
Issuance Of Stock,56889000.0,82958000.0,106484000.0,135275000.0,109872000.0
Net Income,169571000.0,147462000.0,146527000.0,194820000.0,161458000.0
Change In Cash,149775000.0,-51647000.0,98403000.0,370941000.0,-294452000.0
Repurchase Of Stock,-7474000.0,-146553000.0,-17786000.0,-15484000.0,-12977000.0
Total Cash From Operating Activities,195755000.0,250203000.0,254720000.0,355089000.0,371753000.0
Depreciation,31709000.0,38787000.0,45734000.0,48495000.0,87723000.0
Other Cashflows From Investing Activities,-1000.0,1682000.0,-295000.0,314000.0,384000.0
Change To Account Receivables,-33091000.0,-50916000.0,-65738000.0,-10733000.0,17608000.0
Other Cashflows From Financing Activities,-5619000.0,-5619000.0,-5619000.0,-5619000.0,-27165000.0
Change To Netincome,5715000.0,47102000.0,60912000.0,68728000.0,104502000.0
Capital Expenditures,-43057000.0,-27424000.0,-37236000.0,-22690000.0,-33919000.0
