,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Change To Liabilities,-17011000.0,-10534000.0,-3429000.0,23761000.0,-4614000.0,4354000.0
Total Cashflows From Investing Activities,-66724000.0,-46139000.0,-923040000.0,-118256000.0,-603532000.0,-76803000.0
Net Borrowings,-95837000.0,-46325000.0,680944000.0,-54243000.0,904295000.0,-186961000.0
Total Cash From Financing Activities,-134000000.0,-65319000.0,641852000.0,-96913000.0,818810000.0,-239107000.0
Change To Operating Activities,-56457000.0,-942000.0,42120000.0,25653000.0,-48639000.0,-52682000.0
Issuance Of Stock,5367000.0,15254000.0,5397000.0,708000.0,1710000.0,6119000.0
Net Income,88190000.0,105858000.0,114501000.0,88851000.0,-21807000.0,69811000.0
Change In Cash,-63954000.0,56401000.0,-59526000.0,-31971000.0,314243000.0,-151280000.0
Repurchase Of Stock,-14296000.0,-138000.0,-126000.0,-86000.0,-10670000.0,-14081000.0
Effect Of Exchange Rate,2648000.0,5908000.0,15950000.0,-4657000.0,1539000.0,-6710000.0
Total Cash From Operating Activities,134122000.0,161951000.0,205712000.0,187855000.0,97426000.0,171340000.0
Depreciation,48954000.0,54418000.0,56821000.0,59044000.0,83621000.0,118042000.0
Dividends Paid,-31471000.0,-34089000.0,-34136000.0,-34141000.0,-34148000.0,-42959000.0
Change To Inventory,-27015000.0,1749000.0,17746000.0,11289000.0,-1660000.0,-56237000.0
Change To Account Receivables,84665000.0,3469000.0,-27560000.0,-48498000.0,41732000.0,-25800000.0
Other Cashflows From Financing Activities,2237000.0,-21000.0,-10227000.0,-9151000.0,-42377000.0,-1225000.0
Change To Netincome,12796000.0,7933000.0,5513000.0,27755000.0,48793000.0,113852000.0
Capital Expenditures,-66861000.0,-43885000.0,-53751000.0,-74765000.0,-56396000.0,-76973000.0
Investments,-4400000.0,-4400000.0,-4400000.0,-4400000.0,,
Other Cashflows From Investing Activities,-2392000.0,-2392000.0,,,,
