,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Intangible Assets,421503000.0,386143000.0,354622000.0,349105000.0
Capital Surplus,1863949000.0,1368897000.0,1383446000.0,1438038000.0
Total Liab,3933076000.0,3822566000.0,5767283000.0,5982352000.0
Total Stockholder Equity,3674549000.0,3585321000.0,3932250000.0,4268227000.0
Minority Interest,143147000.0,173787000.0,161330000.0,200367000.0
Other Current Liab,92040000.0,96040000.0,335524000.0,215083000.0
Total Assets,7750772000.0,7581674000.0,9860863000.0,10450946000.0
Common Stock,1105000.0,1056000.0,1061000.0,1069000.0
Other Current Assets,41738000.0,1933000.0,6930000.0,13865000.0
Retained Earnings,2035163000.0,2566050000.0,2943478000.0,3155252000.0
Other Liab,1316791000.0,1241477000.0,1380680000.0,1296357000.0
Good Will,1610355000.0,1567169000.0,1578785000.0,1665520000.0
Treasury Stock,-225668000.0,-350682000.0,-395735000.0,-326132000.0
Other Assets,213977000.0,80135000.0,79197000.0,82976000.0
Cash,1137303000.0,555320000.0,613110000.0,746724000.0
Total Current Liabilities,1200925000.0,1183173000.0,1408996000.0,1801849000.0
Deferred Long Term Asset Charges,25108000.0,17029000.0,15275000.0,20317000.0
Short Long Term Debt,422012000.0,307294000.0,186700000.0,802925000.0
Other Stockholder Equity,-225668000.0,-350682000.0,-395735000.0,-326132000.0
Property Plant Equipment,2493310000.0,3021084000.0,5043337000.0,5490917000.0
Total Current Assets,2477563000.0,1998421000.0,2225109000.0,2206184000.0
Long Term Investments,534064000.0,528722000.0,579813000.0,656244000.0
Net Tangible Assets,1642691000.0,1632009000.0,1998843000.0,2253602000.0
Net Receivables,619393000.0,697456000.0,752448000.0,637827000.0
Long Term Debt,1415360000.0,1393421000.0,2804033000.0,2709952000.0
Inventory,592781000.0,700540000.0,768984000.0,750237000.0
Accounts Payable,418537000.0,522516000.0,574138000.0,483221000.0
