,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Change To Liabilities,89000000.0,472000000.0,-62000000.0,-164000000.0,-35000000.0,235000000.0,-1000000.0,-165000000.0,-36000000.0,32000000.0
Total Cashflows From Investing Activities,-205000000.0,-193000000.0,-168000000.0,-93000000.0,437000000.0,-96000000.0,-227000000.0,-169000000.0,-82000000.0,-118000000.0
Total Cash From Financing Activities,496000000.0,-52000000.0,-820000000.0,-566000000.0,-1567000000.0,-38000000.0,-369000000.0,-471000000.0,-242000000.0,-474000000.0
Change To Operating Activities,53000000.0,-17000000.0,-21000000.0,2000000.0,58000000.0,-21000000.0,-48000000.0,20000000.0,30000000.0,-16000000.0
Issuance Of Stock,37000000.0,27000000.0,45000000.0,17000000.0,51000000.0,40000000.0,21000000.0,10000000.0,58000000.0,28000000.0
Net Income,185000000.0,568000000.0,579000000.0,469000000.0,631000000.0,505000000.0,390000000.0,355000000.0,234000000.0,256000000.0
Change In Cash,646000000.0,617000000.0,-447000000.0,72000000.0,-670000000.0,427000000.0,-115000000.0,-160000000.0,78000000.0,-90000000.0
Repurchase Of Stock,-252000000.0,-252000000.0,-252000000.0,-431000000.0,-1501000000.0,-289000000.0,-289000000.0,-400000000.0,-200000000.0,-375000000.0
Total Cash From Operating Activities,355000000.0,862000000.0,541000000.0,731000000.0,460000000.0,561000000.0,481000000.0,480000000.0,402000000.0,502000000.0
Depreciation,89000000.0,89000000.0,98000000.0,101000000.0,100000000.0,101000000.0,106000000.0,106000000.0,107000000.0,108000000.0
Dividends Paid,-75000000.0,-76000000.0,-75000000.0,-75000000.0,-81000000.0,-76000000.0,-77000000.0,-74000000.0,-78000000.0,-78000000.0
Change To Account Receivables,-160000000.0,-280000000.0,-100000000.0,138000000.0,127000000.0,-220000000.0,36000000.0,72000000.0,78000000.0,12000000.0
Other Cashflows From Financing Activities,-15000000.0,-2000000.0,14000000.0,-76000000.0,-36000000.0,-1000000.0,-24000000.0,-6000000.0,-22000000.0,-49000000.0
Change To Netincome,45000000.0,-14000000.0,120000000.0,22000000.0,-343000000.0,-3000000.0,67000000.0,-3000000.0,88000000.0,107000000.0
Capital Expenditures,-82000000.0,-91000000.0,-162000000.0,-86000000.0,-84000000.0,-89000000.0,-144000000.0,-63000000.0,-76000000.0,-118000000.0
Investments,-3000000.0,-1000000.0,-8000000.0,-7000000.0,752000000.0,13000000.0,-6000000.0,-1000000.0,-5000000.0,
Net Borrowings,549000000.0,-1000000.0,-552000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,,
