,2020-06-27,2020-09-26,2020-12-31,2021-04-03,2021-07-03,2021-10-02,2021-12-31
Intangible Assets,910838000.0,918778000.0,951607000.0,921846000.0,922699000.0,911271000.0,899980000.0
Capital Surplus,1874623000.0,1879998000.0,1885142000.0,1889540000.0,1895612000.0,1902978000.0,1911131000.0
Total Liab,5444540000.0,5617145000.0,5786593000.0,5791041000.0,6018851000.0,5697851000.0,5796301000.0
Total Stockholder Equity,7918812000.0,8160657000.0,8534316000.0,8492433000.0,8767118000.0,8745518000.0,8421425000.0
Minority Interest,6052000.0,6412000.0,6842000.0,6599000.0,6824000.0,6931000.0,6791000.0
Deferred Long Term Liab,62196000.0,62596000.0,59847000.0,54544000.0,58012000.0,57065000.0,49644000.0
Other Current Liab,56862000.0,57749000.0,60364000.0,59554000.0,55903000.0,51070000.0,48220000.0
Total Assets,13369404000.0,13784214000.0,14327751000.0,14290073000.0,14792793000.0,14450300000.0,14224517000.0
Common Stock,785000.0,785000.0,776000.0,770000.0,764000.0,754000.0,729000.0
Other Current Assets,99873000.0,35156000.0,31343000.0,33935000.0,25263000.0,19174000.0,20156000.0
Retained Earnings,7225828000.0,7430945000.0,7559191000.0,7673129000.0,7867795000.0,7929950000.0,7692064000.0
Other Liab,772600000.0,732596000.0,823732000.0,816613000.0,824570000.0,793095000.0,852274000.0
Good Will,2541906000.0,2574641000.0,2650831000.0,2594727000.0,2609174000.0,2612201000.0,2607909000.0
Treasury Stock,-1182424000.0,-1151071000.0,-910793000.0,-1071006000.0,-997053000.0,-1088164000.0,-1182499000.0
Other Assets,418071000.0,430515000.0,447292000.0,437611000.0,467641000.0,452806000.0,451439000.0
Cash,737712000.0,781238000.0,768625000.0,557262000.0,753677000.0,1128027000.0,268895000.0
Total Current Liabilities,1872230000.0,2387114000.0,2371248000.0,3007291000.0,3178886000.0,2901743000.0,2946355000.0
Deferred Long Term Asset Charges,355875000.0,367919000.0,387445000.0,383067000.0,409629000.0,395741000.0,401795000.0
Short Long Term Debt,1000.0,349097000.0,369230000.0,950973000.0,958781000.0,588669000.0,1084000.0
Other Stockholder Equity,-966776000.0,-935423000.0,-695145000.0,-855455000.0,-781506000.0,-872617000.0,-966952000.0
Property Plant Equipment,4752591000.0,4708293000.0,4914367000.0,4769877000.0,4842723000.0,4827945000.0,5026832000.0
Total Current Assets,4745998000.0,5151987000.0,5363654000.0,5566012000.0,5950556000.0,5646077000.0,5238357000.0
Net Tangible Assets,4466068000.0,4667238000.0,4931878000.0,4975860000.0,5235245000.0,5222046000.0,4913536000.0
Short Term Investments,,407784000.0,571741000.0,782267000.0,662358000.0,,323000000.0
Net Receivables,1586398000.0,1710961000.0,1709493000.0,1813858000.0,2017622000.0,1880476000.0,1839985000.0
Long Term Debt,2546091000.0,2251034000.0,2318789000.0,1667267000.0,1673628000.0,1661391000.0,1661892000.0
Inventory,1922048000.0,1841973000.0,1913020000.0,1996628000.0,2081967000.0,2215630000.0,2391672000.0
Accounts Payable,845257000.0,989880000.0,1016897000.0,1064785000.0,1131168000.0,1147004000.0,1228621000.0
