Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-06-01-00-00-00,143.889999,146.08900500000001,141.58999599999999,144.309998,144.309998,16552100,,
2021-06-02-00-00-00,145.35,152.7,144.4,151.0,,16245100,0.0,0.0
2021-06-03-00-00-00,149.55,151.12,143.8,144.19,,11083300,0.0,0.0
2021-06-04-00-00-00,145.83,151.57,145.0,150.73,,8534900,0.0,0.0
2021-06-07-00-00-00,150.96,150.96,146.4,148.97,,7780200,0.0,0.0
2021-06-08-00-00-00,150.6,150.75,145.8,147.01,,7125800,0.0,0.0
2021-06-09-00-00-00,148.57,149.36,144.46,144.85,,5606500,0.0,0.0
2021-06-10-00-00-00,142.15,147.45,141.04,146.12,,9482500,0.0,0.0
2021-06-11-00-00-00,145.869995,148.949997,145.199997,148.440002,148.440002,4803900,,
2021-06-14-00-00-00,149.25,149.6,146.85,149.21,,6107500,0.0,0.0
2021-06-15-00-00-00,149.2,153.74,148.84,151.78,,12007700,0.0,0.0
2021-06-16-00-00-00,150.95,152.35,146.92,149.15,,9632800,0.0,0.0
2021-06-17-00-00-00,148.99,152.29,148.61,150.7,,8171300,0.0,0.0
2021-06-18-00-00-00,150.38,154.8,149.4,152.52,,11628900,0.0,0.0
2021-06-21-00-00-00,152.52,152.61,145.83,149.7,,8040200,0.0,0.0
2021-06-22-00-00-00,149.75,151.647003,148.399994,149.679993,149.679993,5769600,,
2021-06-23-00-00-00,149.759995,154.58999599999999,147.800003,151.580002,151.580002,9317000,,
2021-06-24-00-00-00,152.669998,153.626999,149.860001,150.729996,150.729996,8163700,,
2021-06-25-00-00-00,151.229996,153.169998,149.279999,149.669998,149.669998,6444800,,
2021-06-28-00-00-00,148.615005,150.929993,147.080002,149.940002,149.940002,6432900,,
2021-06-29-00-00-00,149.75,149.94,145.77,146.08,,7479000,0.0,0.0
2021-06-30-00-00-00,145.54,154.09,144.24,153.14,,9798600,0.0,0.0
