,2018-05-27,2019-05-26,2020-05-31,2021-05-30,2022-05-29
Investments,-17300000.0,100000.0,-48000000.0,15500000.0,15400000.0
Change To Liabilities,575300000.0,162400000.0,392500000.0,343100000.0,456700000.0
Total Cashflows From Investing Activities,-8685400000.0,-556500000.0,-486200000.0,-512800000.0,-1690700000.0
Net Borrowings,6277400000.0,-1221000000.0,-917200000.0,-960800000.0,-385800000.0
Total Cash From Financing Activities,5445500000.0,-2176400000.0,-1941500000.0,-2715500000.0,-2503200000.0
Change To Operating Activities,73900000.0,-180900000.0,260400000.0,-172200000.0,72800000.0
Issuance Of Stock,1099300000.0,241400000.0,263400000.0,74300000.0,161700000.0
Net Income,2131000000.0,1752700000.0,2181200000.0,2339800000.0,2707300000.0
Change In Cash,-367100000.0,51000000.0,1227800000.0,-172600000.0,-935800000.0
Repurchase Of Stock,-601600000.0,-1100000.0,-3400000.0,-301400000.0,-876800000.0
Effect Of Exchange Rate,31800000.0,-23100000.0,-20700000.0,72500000.0,-58000000.0
Total Cash From Operating Activities,2841000000.0,2807000000.0,3676200000.0,2983200000.0,3316100000.0
Depreciation,618800000.0,620100000.0,594700000.0,601300000.0,570300000.0
Other Cashflows From Investing Activities,-11000000.0,-59700000.0,20900000.0,-3100000.0,-13500000.0
Dividends Paid,-1139700000.0,-1181700000.0,-1195800000.0,-1246400000.0,-1244500000.0
Change To Inventory,15600000.0,53700000.0,103100000.0,-354700000.0,-85800000.0
Change To Account Receivables,-122700000.0,-42700000.0,37900000.0,27900000.0,-166300000.0
Other Cashflows From Financing Activities,-189900000.0,-14000000.0,-88500000.0,-281200000.0,-157800000.0
Change To Netincome,-450900000.0,441700000.0,106400000.0,198000000.0,-238900000.0
Capital Expenditures,-622700000.0,-537600000.0,-460800000.0,-530800000.0,-568700000.0
