,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Change To Liabilities,27000000.0,-62000000.0,218000000.0,-68000000.0,194000000.0,-171000000.0,-43000000.0,9000000.0
Total Cashflows From Investing Activities,-703000000.0,-149000000.0,-180000000.0,-199000000.0,-199000000.0,-75000000.0,-221000000.0,-90000000.0
Net Borrowings,1191000000.0,,,,-750000000.0,-750000000.0,-750000000.0,-750000000.0
Total Cash From Financing Activities,1132000000.0,298000000.0,-349000000.0,-366000000.0,-453000000.0,-429000000.0,-250000000.0,-1138000000.0
Change To Operating Activities,-166000000.0,-166000000.0,-18000000.0,2000000.0,-42000000.0,-33000000.0,-123000000.0,-71000000.0
Net Income,122000000.0,1106000000.0,224000000.0,567000000.0,253000000.0,701000000.0,-85000000.0,283000000.0
Change In Cash,1449000000.0,416000000.0,-559000000.0,1263000000.0,121000000.0,-475000000.0,-1156000000.0,379000000.0
Repurchase Of Stock,-267000000.0,-267000000.0,-149000000.0,-297000000.0,-288000000.0,-250000000.0,-247000000.0,-251000000.0
Total Cash From Operating Activities,1020000000.0,267000000.0,-30000000.0,1629000000.0,773000000.0,29000000.0,-685000000.0,1607000000.0
Depreciation,99000000.0,73000000.0,76000000.0,84000000.0,89000000.0,84000000.0,97000000.0,97000000.0
Other Cashflows From Investing Activities,17000000.0,-1000000.0,-2000000.0,-2000000.0,3000000.0,-6000000.0,-6000000.0,-6000000.0
Dividends Paid,-14000000.0,-15000000.0,-161000000.0,-6000000.0,-148000000.0,-150000000.0,-145000000.0,-145000000.0
Change To Inventory,14000000.0,-440000000.0,380000000.0,317000000.0,-67000000.0,-499000000.0,5000000.0,338000000.0
Change To Account Receivables,644000000.0,-193000000.0,-818000000.0,629000000.0,113000000.0,-174000000.0,-766000000.0,631000000.0
Other Cashflows From Financing Activities,-45000000.0,580000000.0,-39000000.0,-63000000.0,-17000000.0,-29000000.0,-3000000.0,8000000.0
Change To Netincome,114000000.0,-51000000.0,-92000000.0,98000000.0,233000000.0,121000000.0,230000000.0,320000000.0
Capital Expenditures,-167000000.0,-117000000.0,-125000000.0,-91000000.0,-151000000.0,-53000000.0,-68000000.0,-70000000.0
Investments,-103000000.0,-31000000.0,-55000000.0,-29000000.0,-29000000.0,-29000000.0,1000000.0,
