,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Investments,246000000.0,-338000000.0,-338000000.0,-13000000.0
Change To Liabilities,-306000000.0,133000000.0,-193000000.0,-217000000.0
Total Cashflows From Investing Activities,-1100000000.0,-637000000.0,128000000.0,-242000000.0
Net Borrowings,1191000000.0,6750000000.0,6750000000.0,6750000000.0
Total Cash From Financing Activities,146000000.0,-1153000000.0,1036000000.0,-1431000000.0
Net Income,999000000.0,1595000000.0,2187000000.0,1372000000.0
Change In Cash,1411000000.0,734000000.0,2481000000.0,-18000000.0
Repurchase Of Stock,-600000000.0,-600000000.0,-600000000.0,-600000000.0
Total Cash From Operating Activities,2365000000.0,2524000000.0,1317000000.0,1655000000.0
Depreciation,282000000.0,250000000.0,224000000.0,226000000.0
Other Cashflows From Investing Activities,74000000.0,-64000000.0,-11000000.0,-38000000.0
Dividends Paid,-335000000.0,-188000000.0,-41000000.0,-35000000.0
Change To Inventory,181000000.0,197000000.0,-228000000.0,21000000.0
Change To Account Receivables,345000000.0,-166000000.0,-166000000.0,-172000000.0
Other Cashflows From Financing Activities,-110000000.0,-7715000000.0,1077000000.0,-1396000000.0
Change To Netincome,864000000.0,515000000.0,-507000000.0,425000000.0
Capital Expenditures,-359000000.0,-235000000.0,-215000000.0,-191000000.0
