,2017-09-30,2018-09-30,2019-09-30,2020-09-30,2021-09-30,2022-09-30
Total Liab,1247097000.0,1319984000.0,1628778000.0,2445652000.0,2637067000.0,2807216000.0
Total Stockholder Equity,1229392000.0,1285492000.0,1761497000.0,2232268000.0,2360213000.0,2468978000.0
Other Current Liab,719664000.0,743353000.0,838831000.0,916182000.0,1012744000.0,1067182000.0
Total Assets,2476489000.0,2605476000.0,3390275000.0,4677920000.0,4997280000.0,5276194000.0
Common Stock,17627000.0,20427000.0,142597000.0,305453000.0,192458000.0,91048000.0
Other Current Assets,67538000.0,12795000.0,54416000.0,74213000.0,62870000.0,489314000.0
Retained Earnings,1229762000.0,1287243000.0,1638090000.0,1945531000.0,2187828000.0,2404106000.0
Other Liab,312554000.0,365551000.0,523252000.0,449611000.0,598823000.0,694889000.0
Good Will,555965000.0,555965000.0,1065379000.0,1858966000.0,2216553000.0,2259282000.0
Treasury Stock,-17997000.0,-22178000.0,-19190000.0,-18716000.0,-20073000.0,-26176000.0
Other Assets,64524000.0,44368000.0,122579000.0,166720000.0,363573000.0,699487000.0
Cash,673228000.0,424707000.0,599219000.0,849556000.0,580977000.0,758012000.0
Total Current Liabilities,934543000.0,954433000.0,1105526000.0,1288279000.0,1391527000.0,1839951000.0
Deferred Long Term Asset Charges,53303000.0,33441000.0,27701000.0,45173000.0,128193000.0,183365000.0
Short Long Term Debt,,,,19275000.0,19275000.0,349772000.0
Other Stockholder Equity,-17997000.0,-22178000.0,-19190000.0,-18716000.0,-20073000.0,-26176000.0
Property Plant Equipment,122420000.0,145042000.0,223426000.0,529919000.0,436098000.0,395657000.0
Total Current Assets,1406224000.0,1417658000.0,1511586000.0,1793476000.0,1611100000.0,1912224000.0
Long Term Investments,284802000.0,411184000.0,358402000.0,102939000.0,132778000.0,9544000.0
Net Tangible Assets,630873000.0,698268000.0,587215000.0,147402000.0,-93518000.0,209696000.0
Short Term Investments,343700000.0,614705000.0,373063000.0,360333000.0,329630000.0,126554000.0
Net Receivables,291924000.0,295352000.0,401436000.0,434279000.0,555932000.0,469979000.0
Inventory,29834000.0,30568000.0,34401000.0,27898000.0,22055000.0,68365000.0
Accounts Payable,50760000.0,57757000.0,62627000.0,64472000.0,62096000.0,113178000.0
Intangible Assets,42554000.0,31259000.0,108903000.0,225900000.0,237178000.0,
Deferred Long Term Liab,,,31218000.0,40746000.0,43571000.0,
Long Term Debt,,,,369047000.0,349772000.0,
